student_id,year_of_study,study_time,group_size,study_purpose,location
STU0186,Junior,Evening,Small_Group,Project,Study_Hall
STU0187,Freshman,Morning,Pair,Project,Dorm
STU0188,Senior,Late_Night,Small_Group,Reading,Library
STU0189,Freshman,Evening,Solo,Exam_Prep,Library
STU0190,Freshman,Evening,Large_Group,Exam_Prep,Dorm
STU0191,Sophomore,Afternoon,Large_Group,Exam_Prep,Study_Hall
STU0192,Junior,Late_Night,Small_Group,Assignment,Study_Hall
STU0193,Senior,Late_Night,Pair,Reading,Library
STU0194,Freshman,Late_Night,Small_Group,Project,Cafe
STU0195,Freshman,Afternoon,Solo,Project,Study_Hall
STU0196,Freshman,Evening,Solo,Reading,Outdoor
STU0197,Senior,Morning,Small_Group,Exam_Prep,Outdoor
STU0198,Sophomore,Late_Night,Small_Group,Project,Study_Hall
STU0199,Freshman,Morning,Large_Group,Project,Cafe
STU0200,Senior,Afternoon,Pair,Exam_Prep,Cafe
STU0201,Freshman,Late_Night,Large_Group,Reading,Outdoor
STU0202,Sophomore,Evening,Solo,Reading,Cafe
STU0203,Junior,Morning,Solo,Assignment,Dorm
STU0204,Sophomore,Afternoon,Pair,Exam_Prep,Cafe
STU0205,Freshman,Afternoon,Small_Group,Assignment,Outdoor
STU0206,Freshman,Late_Night,Pair,Exam_Prep,Dorm
STU0207,Sophomore,Afternoon,Large_Group,Exam_Prep,Library
STU0208,Junior,Afternoon,Solo,Reading,Dorm
STU0209,Junior,Late_Night,Solo,Project,Dorm
STU0210,Freshman,Late_Night,Large_Group,Reading,Dorm
STU0211,Junior,Afternoon,Solo,Exam_Prep,Library
STU0212,Freshman,Afternoon,Small_Group,Assignment,Study_Hall
STU0213,Junior,Morning,Large_Group,Project,Cafe
STU0214,Sophomore,Afternoon,Large_Group,Reading,Outdoor
STU0215,Junior,Morning,Large_Group,Reading,Cafe
STU0216,Senior,Evening,Small_Group,Reading,Dorm
STU0217,Senior,Afternoon,Large_Group,Reading,Study_Hall
STU0218,Senior,Afternoon,Small_Group,Exam_Prep,Library
STU0219,Sophomore,Afternoon,Large_Group,Project,Dorm
STU0220,Freshman,Afternoon,Solo,Assignment,Dorm
STU0221,Sophomore,Afternoon,Pair,Exam_Prep,Cafe
STU0222,Junior,Morning,Solo,Exam_Prep,Library
STU0223,Sophomore,Afternoon,Solo,Assignment,Study_Hall
STU0224,Sophomore,Afternoon,Small_Group,Exam_Prep,Dorm
STU0225,Junior,Morning,Small_Group,Project,Library
STU0226,Freshman,Afternoon,Large_Group,Exam_Prep,Cafe
STU0227,Sophomore,Morning,Pair,Reading,Dorm
STU0228,Sophomore,Morning,Pair,Exam_Prep,Library
STU0229,Senior,Evening,Solo,Exam_Prep,Library
STU0230,Sophomore,Late_Night,Solo,Assignment,Dorm
STU0231,Senior,Evening,Large_Group,Exam_Prep,Library
STU0232,Freshman,Late_Night,Small_Group,Assignment,Library
STU0233,Sophomore,Evening,Large_Group,Project,Study_Hall
STU0234,Senior,Afternoon,Pair,Assignment,Library
STU0235,Junior,Morning,Small_Group,Exam_Prep,Library
STU0236,Junior,Late_Night,Large_Group,Project,Study_Hall
STU0237,Junior,Afternoon,Solo,Exam_Prep,Outdoor
STU0238,Junior,Afternoon,Pair,Reading,Cafe
STU0239,Junior,Late_Night,Small_Group,Exam_Prep,Outdoor
STU0240,Freshman,Evening,Solo,Reading,Study_Hall
STU0241,Senior,Afternoon,Solo,Reading,Library
STU0242,Junior,Evening,Pair,Project,Library
STU0243,Junior,Evening,Large_Group,Reading,Outdoor
STU0244,Senior,Late_Night,Solo,Assignment,Dorm
STU0245,Sophomore,Late_Night,Large_Group,Assignment,Outdoor
STU0246,Sophomore,Afternoon,Large_Group,Project,Study_Hall
STU0247,Sophomore,Evening,Large_Group,Reading,Library
STU0248,Freshman,Late_Night,Pair,Project,Outdoor
STU0249,Freshman,Morning,Solo,Project,Dorm
STU0250,Sophomore,Morning,Solo,Assignment,Library
STU0251,Freshman,Afternoon,Pair,Assignment,Dorm
STU0252,Freshman,Evening,Small_Group,Exam_Prep,Library
STU0253,Senior,Afternoon,Solo,Exam_Prep,Library
STU0254,Junior,Evening,Solo,Project,Cafe
STU0255,Junior,Late_Night,Solo,Reading,Study_Hall
STU0256,Sophomore,Late_Night,Small_Group,Reading,Study_Hall
STU0257,Senior,Afternoon,Small_Group,Assignment,Dorm
STU0258,Junior,Afternoon,Solo,Exam_Prep,Outdoor
STU0259,Freshman,Late_Night,Large_Group,Reading,Dorm
STU0260,Freshman,Afternoon,Large_Group,Reading,Study_Hall
STU0261,Senior,Evening,Solo,Project,Cafe
STU0262,Senior,Morning,Large_Group,Project,Library
STU0263,Freshman,Afternoon,Pair,Reading,Cafe
STU0264,Junior,Late_Night,Pair,Assignment,Outdoor
STU0265,Sophomore,Late_Night,Small_Group,Exam_Prep,Library
STU0266,Sophomore,Morning,Pair,Exam_Prep,Cafe
STU0267,Senior,Afternoon,Small_Group,Exam_Prep,Library
STU0268,Sophomore,Evening,Pair,Assignment,Outdoor
STU0269,Freshman,Evening,Pair,Project,Study_Hall
STU0270,Junior,Evening,Pair,Reading,Dorm
STU0271,Freshman,Late_Night,Large_Group,Reading,Study_Hall
STU0272,Sophomore,Afternoon,Solo,Exam_Prep,Library
STU0273,Senior,Evening,Large_Group,Assignment,Library
STU0274,Freshman,Evening,Solo,Exam_Prep,Outdoor
STU0275,Sophomore,Morning,Pair,Project,Outdoor
STU0276,Sophomore,Afternoon,Pair,Assignment,Library
STU0277,Sophomore,Afternoon,Pair,Reading,Cafe
STU0278,Sophomore,Evening,Small_Group,Exam_Prep,Library
STU0279,Junior,Late_Night,Small_Group,Exam_Prep,Dorm
STU0280,Sophomore,Afternoon,Solo,Exam_Prep,Library
STU0281,Sophomore,Late_Night,Solo,Reading,Library
STU0282,Senior,Afternoon,Small_Group,Reading,Study_Hall
STU0283,Senior,Late_Night,Large_Group,Exam_Prep,Study_Hall
STU0284,Freshman,Morning,Large_Group,Assignment,Study_Hall
STU0285,Junior,Evening,Solo,Exam_Prep,Outdoor
STU0286,Sophomore,Late_Night,Solo,Project,Library
STU0287,Freshman,Evening,Small_Group,Project,Study_Hall
STU0288,Junior,Afternoon,Solo,Project,Cafe
STU0289,Senior,Afternoon,Large_Group,Assignment,Study_Hall
STU0290,Senior,Late_Night,Pair,Exam_Prep,Library
STU0291,Senior,Evening,Large_Group,Reading,Outdoor
STU0292,Junior,Morning,Small_Group,Assignment,Dorm
STU0293,Senior,Afternoon,Large_Group,Project,Study_Hall
STU0294,Freshman,Late_Night,Pair,Assignment,Dorm
STU0295,Freshman,Late_Night,Large_Group,Project,Study_Hall
STU0296,Senior,Late_Night,Small_Group,Assignment,Study_Hall
STU0297,Sophomore,Late_Night,Large_Group,Exam_Prep,Library
STU0298,Junior,Afternoon,Small_Group,Exam_Prep,Library
STU0299,Junior,Late_Night,Large_Group,Reading,Cafe
STU0300,Junior,Morning,Large_Group,Project,Library
STU0301,Junior,Late_Night,Large_Group,Reading,Library
STU0302,Senior,Evening,Large_Group,Exam_Prep,Library
STU0303,Freshman,Morning,Solo,Project,Study_Hall
STU0304,Freshman,Afternoon,Small_Group,Reading,Outdoor
STU0305,Junior,Morning,Pair,Exam_Prep,Library
STU0306,Freshman,Afternoon,Pair,Exam_Prep,Cafe
STU0307,Sophomore,Late_Night,Pair,Exam_Prep,Library
STU0308,Junior,Evening,Solo,Assignment,Dorm
STU0309,Senior,Evening,Solo,Exam_Prep,Library
STU0310,Freshman,Morning,Small_Group,Assignment,Study_Hall
STU0311,Senior,Late_Night,Solo,Exam_Prep,Outdoor
STU0312,Sophomore,Late_Night,Small_Group,Exam_Prep,Library
STU0313,Sophomore,Morning,Solo,Reading,Library
STU0314,Sophomore,Morning,Pair,Project,Library
STU0315,Freshman,Afternoon,Small_Group,Assignment,Study_Hall
STU0316,Junior,Evening,Solo,Project,Library
STU0317,Sophomore,Morning,Solo,Reading,Library
STU0318,Junior,Morning,Pair,Project,Outdoor
STU0319,Freshman,Morning,Pair,Exam_Prep,Library
STU0320,Sophomore,Afternoon,Solo,Exam_Prep,Library
STU0321,Senior,Morning,Small_Group,Exam_Prep,Outdoor
STU0322,Senior,Evening,Solo,Assignment,Study_Hall
STU0323,Freshman,Late_Night,Solo,Exam_Prep,Dorm
STU0324,Sophomore,Late_Night,Solo,Exam_Prep,Dorm
STU0325,Freshman,Morning,Solo,Project,Cafe
STU0326,Junior,Morning,Solo,Project,Study_Hall
STU0327,Sophomore,Morning,Pair,Project,Outdoor
STU0328,Freshman,Evening,Pair,Reading,Dorm
STU0329,Senior,Morning,Pair,Project,Study_Hall
STU0330,Junior,Evening,Pair,Project,Cafe
STU0331,Junior,Afternoon,Pair,Reading,Library
STU0332,Sophomore,Morning,Solo,Reading,Dorm
STU0333,Junior,Late_Night,Solo,Reading,Study_Hall
STU0334,Freshman,Afternoon,Small_Group,Reading,Cafe
STU0335,Freshman,Afternoon,Pair,Project,Cafe
STU0336,Senior,Afternoon,Small_Group,Reading,Outdoor
STU0337,Sophomore,Morning,Pair,Project,Cafe
STU0338,Freshman,Afternoon,Small_Group,Reading,Outdoor
STU0339,Senior,Late_Night,Pair,Assignment,Cafe
STU0340,Freshman,Afternoon,Large_Group,Reading,Dorm
STU0341,Senior,Late_Night,Large_Group,Project,Study_Hall
STU0342,Senior,Late_Night,Large_Group,Assignment,Dorm
STU0343,Senior,Morning,Small_Group,Project,Cafe
STU0344,Senior,Afternoon,Solo,Project,Dorm
STU0345,Senior,Morning,Small_Group,Reading,Outdoor
STU0346,Freshman,Afternoon,Small_Group,Exam_Prep,Dorm
STU0347,Freshman,Evening,Small_Group,Assignment,Dorm
STU0348,Sophomore,Evening,Small_Group,Exam_Prep,Library
STU0349,Freshman,Evening,Large_Group,Assignment,Library
STU0350,Junior,Evening,Solo,Project,Library
STU0351,Sophomore,Late_Night,Pair,Assignment,Library
STU0352,Senior,Late_Night,Pair,Exam_Prep,Study_Hall
STU0353,Sophomore,Afternoon,Large_Group,Assignment,Cafe
STU0354,Junior,Afternoon,Pair,Assignment,Cafe
STU0355,Sophomore,Morning,Small_Group,Assignment,Dorm
STU0356,Sophomore,Evening,Solo,Assignment,Library
STU0357,Junior,Late_Night,Large_Group,Reading,Library
STU0358,Senior,Late_Night,Small_Group,Exam_Prep,Library
STU0359,Senior,Evening,Solo,Assignment,Library
STU0360,Freshman,Morning,Solo,Reading,Outdoor
STU0361,Sophomore,Morning,Solo,Assignment,Dorm
STU0362,Freshman,Afternoon,Large_Group,Project,Study_Hall
STU0363,Senior,Evening,Pair,Reading,Study_Hall
STU0364,Sophomore,Afternoon,Small_Group,Project,Cafe
STU0365,Sophomore,Afternoon,Pair,Project,Cafe
STU0366,Freshman,Late_Night,Small_Group,Reading,Dorm
STU0367,Freshman,Evening,Small_Group,Exam_Prep,Cafe
STU0368,Freshman,Afternoon,Small_Group,Project,Cafe
STU0369,Sophomore,Late_Night,Small_Group,Assignment,Dorm
STU0370,Senior,Late_Night,Solo,Reading,Library
STU0371,Senior,Afternoon,Pair,Project,Library
STU0372,Junior,Afternoon,Small_Group,Project,Cafe
STU0373,Freshman,Afternoon,Small_Group,Assignment,Study_Hall
STU0374,Sophomore,Evening,Small_Group,Reading,Study_Hall
STU0375,Senior,Morning,Large_Group,Exam_Prep,Cafe
STU0376,Sophomore,Morning,Solo,Exam_Prep,Library
STU0377,Freshman,Morning,Solo,Exam_Prep,Library
STU0378,Junior,Late_Night,Small_Group,Reading,Dorm
STU0379,Junior,Evening,Pair,Exam_Prep,Library
STU0380,Sophomore,Late_Night,Solo,Reading,Library
STU0381,Freshman,Morning,Pair,Assignment,Dorm
STU0382,Senior,Morning,Small_Group,Exam_Prep,Outdoor
STU0383,Sophomore,Morning,Pair,Assignment,Dorm
STU0384,Sophomore,Evening,Small_Group,Assignment,Study_Hall
STU0385,Junior,Late_Night,Solo,Assignment,Outdoor
STU0386,Junior,Evening,Large_Group,Exam_Prep,Outdoor
STU0387,Freshman,Afternoon,Solo,Exam_Prep,Library
STU0388,Freshman,Morning,Large_Group,Project,Library
STU0389,Freshman,Afternoon,Solo,Reading,Library
STU0390,Senior,Late_Night,Large_Group,Project,Study_Hall
STU0391,Freshman,Morning,Pair,Reading,Cafe
STU0392,Senior,Morning,Small_Group,Assignment,Outdoor
STU0393,Junior,Afternoon,Large_Group,Reading,Study_Hall
STU0394,Junior,Late_Night,Small_Group,Assignment,Cafe
STU0395,Senior,Late_Night,Small_Group,Assignment,Outdoor
STU0396,Freshman,Morning,Pair,Assignment,Study_Hall
STU0397,Junior,Evening,Small_Group,Reading,Dorm
STU0398,Junior,Afternoon,Pair,Assignment,Cafe
STU0399,Sophomore,Late_Night,Pair,Project,Library
STU0400,Junior,Afternoon,Solo,Reading,Cafe
STU0401,Junior,Late_Night,Large_Group,Reading,Cafe
STU0402,Sophomore,Afternoon,Large_Group,Exam_Prep,Library
STU0403,Senior,Evening,Large_Group,Exam_Prep,Cafe
STU0404,Sophomore,Morning,Small_Group,Assignment,Dorm
STU0405,Junior,Evening,Solo,Reading,Study_Hall
STU0406,Senior,Evening,Pair,Project,Library
STU0407,Junior,Evening,Solo,Assignment,Study_Hall
STU0408,Senior,Afternoon,Solo,Assignment,Outdoor
STU0409,Junior,Afternoon,Pair,Exam_Prep,Dorm
STU0410,Sophomore,Afternoon,Solo,Project,Study_Hall
STU0411,Senior,Morning,Solo,Project,Outdoor
STU0412,Senior,Afternoon,Solo,Project,Outdoor
STU0413,Sophomore,Morning,Solo,Assignment,Cafe
STU0414,Senior,Late_Night,Solo,Exam_Prep,Cafe
STU0415,Sophomore,Afternoon,Small_Group,Project,Library
STU0416,Senior,Late_Night,Solo,Project,Study_Hall
STU0417,Junior,Late_Night,Pair,Assignment,Study_Hall
STU0418,Sophomore,Afternoon,Solo,Exam_Prep,Library
STU0419,Freshman,Evening,Solo,Assignment,Cafe
STU0420,Senior,Afternoon,Large_Group,Exam_Prep,Library
STU0421,Senior,Evening,Small_Group,Reading,Study_Hall
STU0422,Sophomore,Morning,Small_Group,Exam_Prep,Library
STU0423,Sophomore,Afternoon,Large_Group,Assignment,Cafe
STU0424,Junior,Late_Night,Solo,Assignment,Study_Hall
STU0425,Junior,Morning,Large_Group,Exam_Prep,Outdoor
STU0426,Junior,Late_Night,Solo,Assignment,Dorm
STU0427,Freshman,Morning,Pair,Project,Dorm
STU0428,Junior,Evening,Pair,Assignment,Dorm
STU0429,Senior,Evening,Large_Group,Reading,Dorm
STU0430,Junior,Late_Night,Solo,Project,Cafe
STU0431,Freshman,Morning,Pair,Exam_Prep,Outdoor
STU0432,Senior,Afternoon,Pair,Project,Outdoor
STU0433,Senior,Afternoon,Solo,Exam_Prep,Library
STU0434,Sophomore,Late_Night,Solo,Exam_Prep,Study_Hall
STU0435,Sophomore,Afternoon,Solo,Exam_Prep,Library
STU0436,Senior,Afternoon,Pair,Project,Cafe
STU0437,Sophomore,Evening,Small_Group,Reading,Dorm
STU0438,Sophomore,Evening,Solo,Project,Study_Hall
STU0439,Junior,Morning,Solo,Project,Outdoor
STU0440,Junior,Late_Night,Small_Group,Assignment,Cafe
STU0441,Junior,Late_Night,Solo,Reading,Library
STU0442,Junior,Late_Night,Small_Group,Reading,Cafe
STU0443,Junior,Afternoon,Large_Group,Reading,Outdoor
STU0444,Freshman,Evening,Solo,Reading,Library
STU0445,Junior,Afternoon,Solo,Exam_Prep,Outdoor
STU0446,Senior,Evening,Pair,Reading,Outdoor
STU0447,Freshman,Evening,Pair,Project,Outdoor
STU0448,Senior,Morning,Pair,Reading,Outdoor
STU0449,Sophomore,Morning,Large_Group,Assignment,Study_Hall
STU0450,Junior,Afternoon,Solo,Reading,Library
STU0451,Sophomore,Evening,Large_Group,Project,Dorm
STU0452,Freshman,Evening,Solo,Exam_Prep,Library
STU0453,Junior,Afternoon,Large_Group,Project,Outdoor
STU0454,Junior,Late_Night,Small_Group,Exam_Prep,Library
STU0455,Junior,Afternoon,Large_Group,Reading,Study_Hall
STU0456,Freshman,Evening,Pair,Assignment,Outdoor
STU0457,Freshman,Late_Night,Solo,Assignment,Library
STU0458,Freshman,Evening,Large_Group,Project,Study_Hall
STU0459,Senior,Late_Night,Pair,Project,Cafe
STU0460,Junior,Late_Night,Pair,Project,Library
STU0461,Freshman,Morning,Solo,Exam_Prep,Study_Hall
STU0462,Senior,Afternoon,Small_Group,Project,Library
STU0463,Freshman,Late_Night,Small_Group,Assignment,Study_Hall
STU0464,Sophomore,Morning,Small_Group,Reading,Library
STU0465,Sophomore,Afternoon,Solo,Project,Cafe
STU0466,Freshman,Evening,Large_Group,Exam_Prep,Library
