area_sqft,bedrooms,bathrooms,locality,age_years,furnishing,distance_to_city_km,price_lakhs
1676.0,3,2.0,Downtown,33.0,Furnished,4.6,99.48
1240.0,2,2.0,Downtown,2.0,Semi-Furnished,22.0,86.01
1490.0,2,1.0,Downtown,36.0,Unfurnished,17.4,62.99
1405.0,3,1.0,Downtown,39.0,Unfurnished,10.8,83.97
1439.0,2,3.0,Suburb,25.0,Semi-Furnished,7.7,71.97
1091.0,3,3.0,Suburb,22.0,Unfurnished,,65.27
1410.0,2,1.0,Rural,38.0,Semi-Furnished,12.4,53.76
1599.0,3,1.0,Suburb,14.0,Furnished,10.6,89.56
1980.0,3,1.0,Downtown,3.0,Unfurnished,,118.18
1784.0,1,3.0,Suburb,28.0,Unfurnished,9.9,88.17
2261.0,2,1.0,Rural,21.0,Unfurnished,15.0,93.53
1093.0,2,1.0,Suburb,24.0,Unfurnished,11.8,50.48
1749.0,1,3.0,Rural,12.0,Semi-Furnished,13.6,68.52
1473.0,5,1.0,Suburb,17.0,Semi-Furnished,10.6,84.0
2276.0,2,3.0,Suburb,32.0,Unfurnished,16.2,105.54
1077.0,4,1.0,Suburb,15.0,Semi-Furnished,16.3,66.84
1064.0,2,1.0,Downtown,1.0,Unfurnished,14.8,77.77
1160.0,3,1.0,Downtown,34.0,Unfurnished,15.6,66.13
550.0,4,3.0,Downtown,33.0,Unfurnished,6.3,61.65
1190.0,3,3.0,Suburb,29.0,Semi-Furnished,13.9,61.46
1096.0,3,3.0,Downtown,12.0,Semi-Furnished,19.5,80.24
1460.0,3,2.0,Suburb,12.0,Furnished,14.9,79.41
1537.0,2,3.0,Rural,17.0,Semi-Furnished,5.8,69.66
2150.0,4,1.0,Downtown,31.0,Furnished,11.7,114.93
1780.0,4,2.0,Suburb,31.0,Semi-Furnished,14.2,84.83
1169.0,5,3.0,Rural,34.0,Semi-Furnished,7.5,73.52
1041.0,2,1.0,Downtown,38.0,Furnished,3.9,57.61
1597.0,3,1.0,Downtown,28.0,Semi-Furnished,10.1,92.16
872.0,4,1.0,Downtown,28.0,Furnished,7.6,64.6
2133.0,2,1.0,Downtown,15.0,Furnished,11.9,119.86
1872.0,1,1.0,Rural,9.0,Unfurnished,2.5,85.86
1212.0,3,,Rural,29.0,Semi-Furnished,15.4,45.62
715.0,3,2.0,Suburb,24.0,Furnished,8.2,56.75
1942.0,4,3.0,Rural,38.0,Semi-Furnished,18.0,92.39
1354.0,2,3.0,Rural,19.0,Unfurnished,10.3,46.8
1895.0,4,2.0,Downtown,4.0,Furnished,11.8,128.34
762.0,2,2.0,Rural,0.0,Semi-Furnished,11.0,45.84
1160.0,2,,Suburb,29.0,Furnished,7.9,69.24
1402.0,2,2.0,Rural,220.0,Furnished,26.8,61.72
1419.0,4,2.0,Rural,13.0,Semi-Furnished,9.0,78.74
1220.0,3,2.0,Downtown,29.0,Semi-Furnished,18.1,66.08
1649.0,3,2.0,Downtown,3.0,Semi-Furnished,5.4,108.89
973.0,2,2.0,Downtown,17.0,Unfurnished,14.2,71.9
1343.0,4,2.0,Suburb,36.0,Unfurnished,,51.97
1448.0,2,2.0,Rural,24.0,Semi-Furnished,11.9,75.21
1606.0,4,4.0,Rural,0.0,Semi-Furnished,8.6,105.74
1685.0,3,3.0,Downtown,14.0,Unfurnished,10.4,112.18
950.0,2,1.0,Suburb,8.0,Furnished,9.6,64.72
786.0,3,3.0,Suburb,14.0,Semi-Furnished,26.4,42.33
1911.0,2,2.0,Downtown,23.0,Furnished,11.9,114.03
1533.0,3,3.0,Downtown,3.0,Furnished,15.1,110.97
1101.0,3,3.0,Downtown,11.0,Unfurnished,22.7,77.1
2020.0,2,2.0,Rural,36.0,Unfurnished,6.7,79.74
1446.0,4,1.0,Downtown,36.0,Semi-Furnished,12.2,80.01
1872.0,2,2.0,Suburb,5.0,Semi-Furnished,10.4,97.7
1427.0,3,2.0,Suburb,38.0,Furnished,11.5,65.31
2224.0,4,2.0,Suburb,23.0,Furnished,10.9,127.39
2102.0,3,2.0,Rural,10.0,Furnished,7.6,107.81
1300.0,2,1.0,Rural,12.0,Semi-Furnished,13.2,46.27
1789.0,4,3.0,Downtown,33.0,Unfurnished,5.6,112.61
1658.0,3,4.0,Suburb,24.0,Semi-Furnished,17.9,95.98
1947.0,2,2.0,Downtown,6.0,Furnished,15.7,125.09
1014.0,2,1.0,Downtown,3.0,Unfurnished,9.0,71.01
1674.0,4,2.0,Downtown,7.0,Unfurnished,9.3,105.17
1823.0,3,1.0,Suburb,19.0,Semi-Furnished,13.7,90.87
697.0,3,4.0,Suburb,28.0,Semi-Furnished,7.2,48.85
927.0,4,1.0,Downtown,9.0,Semi-Furnished,22.9,64.18
584.0,4,2.0,Downtown,33.0,Furnished,14.1,57.51
1292.0,2,2.0,Rural,25.0,Semi-Furnished,14.4,62.7
1687.0,2,2.0,Downtown,2.0,Unfurnished,16.1,104.17
2001.0,2,3.0,Downtown,5.0,Furnished,8.5,133.21
1430.0,3,3.0,Suburb,4.0,Furnished,18.5,83.53
2051.0,1,,Rural,4.0,Furnished,12.7,104.12
848.0,3,1.0,Downtown,22.0,Furnished,17.7,61.35
719.0,4,1.0,Suburb,8.0,Unfurnished,10.8,48.44
1378.0,4,4.0,Rural,34.0,Unfurnished,19.9,58.07
1554.0,2,3.0,Downtown,19.0,Semi-Furnished,14.4,97.84
1387.0,4,2.0,Suburb,34.0,Furnished,25.1,66.77
573.0,2,2.0,Suburb,17.0,Semi-Furnished,9.8,44.98
1364.0,4,3.0,Suburb,16.0,Semi-Furnished,13.2,86.52
878.0,2,1.0,Suburb,23.0,Furnished,5.8,50.37
1668.0,2,4.0,Suburb,2.0,Semi-Furnished,,105.23
1547.0,4,2.0,Downtown,31.0,Semi-Furnished,15.7,96.45
1024.0,2,2.0,Rural,34.0,Semi-Furnished,,22.86
1194.0,2,2.0,Downtown,37.0,Semi-Furnished,29.8,59.59
976.0,3,1.0,Downtown,12.0,Furnished,11.4,76.79
1375.0,3,1.0,Downtown,24.0,Semi-Furnished,6.4,87.7
1782.0,3,3.0,Suburb,8.0,Semi-Furnished,16.5,104.7
1006.0,3,1.0,Suburb,3.0,Semi-Furnished,5.2,75.79
1602.0,3,2.0,Downtown,13.0,Unfurnished,,93.77
1188.0,2,1.0,Suburb,36.0,Semi-Furnished,9.0,56.48
1083.0,2,,Downtown,33.0,Furnished,13.3,63.93
1357.0,2,2.0,Suburb,10.0,Furnished,18.5,85.18
986.0,4,2.0,Downtown,2.0,Semi-Furnished,11.3,84.16
1179.0,3,3.0,Suburb,27.0,Furnished,17.6,66.21
921.0,3,2.0,Suburb,28.0,Semi-Furnished,17.2,41.19
2186.0,3,2.0,Rural,8.0,Unfurnished,0.8,
1414.0,4,2.0,Downtown,2.0,Semi-Furnished,6.6,
