Brand,Processor,RAM_GB,Storage_GB,Screen_Size,Graphics_Card,Weight_kg,Operating_System,Price
Dell,Intel i3,8.0,512.0,17.3,Integrated,3.25,Linux,1037.37
HP,Intel i7,4.0,256.0,14.0,NVIDIA RTX 3060,2.44,Windows 10,1657.32
Samsung,Intel i3,,1024.0,14.0,Integrated,1.98,Linux,1506.31
HP,Apple M1,16.0,256.0,14.0,NVIDIA RTX 4060,3.35,DOS,1922.07
Apple,AMD Ryzen 5,32.0,512.0,15.6,AMD Radeon,1.86,Windows 11,1968.4
Lenovo,Apple M1,,2048.0,17.3,AMD Radeon,2.12,Linux,3037.21
MSI,AMD Ryzen 5,4.0,512.0,17.3,AMD Radeon,2.74,Windows 11,1526.71
Lenovo,Apple M1,8.0,1024.0,13.3,NVIDIA RTX 3060,1.67,Windows 10,1938.73
Lenovo,Intel i9,4.0,2048.0,13.3,NVIDIA RTX 3060,1.46,Windows 10,2321.19
Apple,AMD Ryzen 3,16.0,1024.0,17.3,,2.42,Windows 11,2268.67
Samsung,AMD Ryzen 3,8.0,2048.0,14.0,NVIDIA RTX 4060,2.77,Linux,1756.55
Acer,Apple M2,4.0,256.0,15.6,AMD Radeon,2.15,Windows 11,2012.3
Asus,Intel i5,64.0,2048.0,15.6,Integrated,1.67,macOS,2159.22
Samsung,AMD Ryzen 5,32.0,2048.0,13.3,NVIDIA RTX 3050,3.03,Linux,1803.16
Acer,AMD Ryzen 3,64.0,1024.0,15.6,AMD Radeon,2.4,Linux,2008.93
HP,Apple M2,8.0,2048.0,17.3,AMD Radeon,3.27,DOS,2019.65
MSI,Intel i3,4.0,256.0,13.3,NVIDIA GTX 1650,2.45,macOS,1325.66
Apple,AMD Ryzen 5,16.0,1024.0,15.6,NVIDIA GTX 1650,1.52,DOS,1783.97
Apple,AMD Ryzen 7,16.0,2048.0,13.3,AMD Radeon,2.93,DOS,2006.9
MSI,Intel i3,32.0,512.0,14.0,NVIDIA GTX 1650,2.34,Windows 10,1614.16
Apple,Intel i9,64.0,2048.0,17.3,NVIDIA RTX 4060,2.44,DOS,3464.84
Asus,Intel i5,16.0,1024.0,15.6,NVIDIA RTX 3050,2.5,Windows 10,1540.15
Acer,Intel i9,16.0,,14.0,AMD Radeon,1.72,Windows 10,2120.95
Asus,Apple M1,,256.0,13.3,NVIDIA RTX 3060,2.56,Linux,1832.97
Asus,AMD Ryzen 3,64.0,2048.0,15.6,NVIDIA GTX 1650,2.97,Windows 10,2087.27
Lenovo,Apple M1,4.0,512.0,15.6,Integrated,1.46,DOS,1295.89
Asus,AMD Ryzen 5,4.0,256.0,15.6,AMD Radeon,2.39,DOS,1098.23
Acer,Apple M2,8.0,2048.0,13.3,NVIDIA RTX 4060,2.59,macOS,2608.96
Dell,AMD Ryzen 5,8.0,1024.0,14.0,NVIDIA RTX 3050,2.9,Windows 11,1509.43
Lenovo,Intel i7,4.0,1024.0,17.3,AMD Radeon,1.28,Windows 11,1604.2
MSI,AMD Ryzen 5,8.0,2048.0,14.0,NVIDIA RTX 4060,2.38,Windows 11,2279.67
Dell,Intel i9,32.0,1024.0,13.3,Integrated,1.89,DOS,1909.56
Lenovo,Apple M1,16.0,512.0,17.3,AMD Radeon,1.64,DOS,1758.71
Samsung,Apple M1,16.0,512.0,13.3,AMD Radeon,2.84,Windows 10,1922.13
Asus,Intel i3,8.0,512.0,14.0,NVIDIA RTX 3050,1.56,Windows 11,1268.34
MSI,AMD Ryzen 7,16.0,,14.0,NVIDIA GTX 1650,3.26,Windows 10,1872.39
MSI,AMD Ryzen 7,32.0,2048.0,14.0,NVIDIA RTX 4060,2.14,Windows 11,2471.67
Samsung,AMD Ryzen 7,16.0,1024.0,13.3,AMD Radeon,1.98,DOS,1506.12
Dell,Apple M1,8.0,1024.0,17.3,AMD Radeon,,macOS,2206.47
Asus,AMD Ryzen 3,64.0,512.0,15.6,NVIDIA GTX 1650,1.23,Windows 11,1952.64
Lenovo,Intel i7,32.0,256.0,17.3,NVIDIA GTX 1650,3.25,DOS,1698.9
HP,Intel i5,16.0,1024.0,15.6,NVIDIA RTX 3060,3.11,DOS,1605.97
Apple,Apple M2,8.0,256.0,17.3,NVIDIA RTX 3050,3.38,Linux,2184.94
HP,Apple M1,16.0,512.0,15.6,Integrated,2.31,Windows 11,1629.74
Samsung,Intel i5,64.0,256.0,15.6,Integrated,1.52,macOS,2126.57
HP,Intel i5,64.0,1024.0,14.0,NVIDIA GTX 1650,2.42,Windows 10,2237.32
Apple,Intel i5,4.0,256.0,13.3,AMD Radeon,3.11,DOS,1366.29
Acer,Apple M2,16.0,2048.0,14.0,,2.66,DOS,2194.81
Acer,Intel i3,8.0,256.0,17.3,AMD Radeon,2.39,Windows 10,1170.68
Lenovo,Intel i3,16.0,256.0,17.3,NVIDIA RTX 3050,1.76,DOS,1403.01
Lenovo,Intel i9,4.0,1024.0,15.6,NVIDIA RTX 3050,3.38,DOS,1809.7
HP,Intel i9,32.0,1024.0,15.6,NVIDIA RTX 3060,1.32,macOS,2676.45
HP,Apple M2,8.0,512.0,13.3,Integrated,1.37,Windows 11,1712.4
Acer,Apple M1,8.0,256.0,15.6,NVIDIA RTX 3050,3.08,DOS,1477.13
Lenovo,AMD Ryzen 5,8.0,2048.0,15.6,NVIDIA RTX 4060,1.41,macOS,2304.13
Dell,Apple M2,4.0,1024.0,17.3,AMD Radeon,3.4,macOS,2259.9
Acer,Intel i3,64.0,512.0,17.3,AMD Radeon,3.46,Windows 10,2128.29
MSI,Apple M2,64.0,512.0,15.6,NVIDIA GTX 1650,2.55,Windows 11,2713.61
Acer,AMD Ryzen 5,8.0,1024.0,14.0,NVIDIA RTX 4060,2.88,macOS,2065.18
HP,AMD Ryzen 7,64.0,512.0,15.6,AMD Radeon,1.33,macOS,2389.12
HP,AMD Ryzen 7,4.0,512.0,15.6,NVIDIA RTX 3050,,DOS,1262.14
Acer,Apple M1,8.0,1024.0,15.6,NVIDIA RTX 3060,2.52,Windows 11,2071.39
Apple,Apple M2,64.0,512.0,13.3,NVIDIA RTX 4060,2.62,Windows 10,3242.0
HP,Intel i5,16.0,1024.0,13.3,NVIDIA RTX 4060,2.08,macOS,1864.21
Apple,Intel i9,64.0,512.0,13.3,NVIDIA RTX 4060,1.29,Linux,3489.58
Samsung,Apple M2,8.0,512.0,13.3,NVIDIA RTX 3060,2.9,Windows 11,2040.41
Apple,Apple M1,8.0,2048.0,14.0,AMD Radeon,2.55,Windows 11,2604.75
MSI,Apple M2,4.0,256.0,17.3,NVIDIA RTX 3060,1.7,Windows 10,2356.97
Acer,AMD Ryzen 5,16.0,512.0,13.3,NVIDIA GTX 1650,1.58,Linux,1171.19
Samsung,Intel i9,64.0,1024.0,14.0,NVIDIA RTX 4060,3.11,Windows 10,2931.51
Dell,Apple M2,4.0,512.0,15.6,AMD Radeon,3.04,Windows 11,1955.92
Asus,Intel i3,64.0,1024.0,14.0,NVIDIA RTX 3050,2.94,Windows 11,2074.33
Samsung,Intel i7,64.0,2048.0,13.3,Integrated,2.56,DOS,2142.57
Dell,Apple M1,16.0,1024.0,17.3,NVIDIA RTX 4060,3.24,Windows 11,2611.44
HP,Apple M2,4.0,256.0,15.6,NVIDIA RTX 3050,1.85,Linux,1793.54
Samsung,AMD Ryzen 3,8.0,512.0,14.0,NVIDIA RTX 4060,1.71,DOS,1690.41
Acer,Intel i3,8.0,2048.0,13.3,AMD Radeon,,Windows 10,1463.79
Samsung,Intel i5,16.0,256.0,13.3,Integrated,3.22,macOS,1497.07
Asus,Intel i3,16.0,1024.0,17.3,Integrated,1.97,DOS,1220.99
HP,Intel i9,16.0,512.0,17.3,NVIDIA RTX 4060,3.23,Windows 10,2406.07
MSI,AMD Ryzen 7,8.0,512.0,17.3,NVIDIA RTX 3050,1.73,Windows 10,1832.36
Apple,AMD Ryzen 7,8.0,2048.0,13.3,AMD Radeon,1.95,Windows 11,2199.7
MSI,Intel i5,32.0,2048.0,17.3,NVIDIA RTX 4060,2.99,macOS,2770.67
HP,Apple M2,8.0,1024.0,17.3,NVIDIA RTX 3060,1.61,DOS,1978.71
Asus,Intel i9,32.0,512.0,17.3,NVIDIA RTX 3050,1.58,Linux,2044.16
HP,AMD Ryzen 5,4.0,512.0,14.0,NVIDIA RTX 3050,3.16,DOS,1164.08
Lenovo,Intel i7,32.0,256.0,17.3,NVIDIA RTX 4060,,macOS,2332.91
MSI,Intel i5,8.0,256.0,17.3,Integrated,1.44,Windows 11,1216.65
MSI,Intel i9,8.0,1024.0,14.0,NVIDIA RTX 3060,2.71,macOS,2526.85
Apple,Apple M1,32.0,256.0,13.3,NVIDIA RTX 4060,2.67,macOS,2849.63
Lenovo,Intel i3,8.0,2048.0,14.0,NVIDIA GTX 1650,1.69,Windows 11,1491.1
Asus,Intel i5,32.0,2048.0,15.6,NVIDIA RTX 3060,1.63,Windows 11,2005.6
Samsung,Intel i5,32.0,1024.0,15.6,NVIDIA RTX 4060,1.5,DOS,2322.33
HP,Intel i7,32.0,512.0,15.6,Integrated,1.2,Windows 11,1786.33
Asus,Intel i9,4.0,512.0,17.3,Integrated,1.57,DOS,1447.68
Samsung,Apple M1,16.0,2048.0,13.3,Integrated,1.23,Windows 10,2013.33
HP,AMD Ryzen 5,16.0,256.0,13.3,Integrated,3.39,Windows 11,1093.5
Apple,Intel i7,4.0,256.0,17.3,Integrated,2.51,Linux,1710.99
HP,Apple M1,8.0,2048.0,13.3,NVIDIA GTX 1650,2.43,Windows 11,1865.75
Dell,Intel i9,8.0,512.0,15.6,NVIDIA GTX 1650,3.45,Windows 10,1908.48
HP,Intel i5,,1024.0,17.3,Integrated,3.39,DOS,1197.07
Apple,Apple M2,4.0,1024.0,15.6,Integrated,2.83,Windows 10,2260.87
Asus,AMD Ryzen 7,16.0,2048.0,17.3,NVIDIA RTX 3060,2.57,Windows 10,2100.15
MSI,Apple M2,32.0,512.0,14.0,NVIDIA RTX 3050,2.87,Linux,2266.08
Acer,Apple M2,64.0,1024.0,14.0,NVIDIA RTX 3050,3.44,Linux,2951.06
Acer,AMD Ryzen 7,64.0,1024.0,17.3,NVIDIA RTX 3050,1.57,Windows 10,2586.53
Acer,Apple M1,4.0,1024.0,15.6,NVIDIA RTX 3060,1.66,macOS,1978.48
Apple,Intel i3,32.0,256.0,14.0,NVIDIA RTX 4060,2.87,DOS,2404.1
Acer,Intel i9,32.0,2048.0,14.0,NVIDIA RTX 3060,2.36,Windows 10,2809.32
Samsung,Apple M2,32.0,512.0,13.3,NVIDIA GTX 1650,2.32,Windows 10,2347.81
Asus,AMD Ryzen 5,8.0,1024.0,15.6,NVIDIA GTX 1650,3.3,Linux,1270.39
HP,Apple M1,64.0,1024.0,13.3,NVIDIA RTX 3050,2.98,Linux,2823.08
MSI,Intel i5,64.0,256.0,14.0,NVIDIA RTX 4060,,Linux,2529.42
Apple,Apple M1,4.0,2048.0,14.0,AMD Radeon,,Windows 11,2567.56
HP,Intel i7,64.0,256.0,15.6,,2.98,Linux,2286.82
MSI,Intel i7,8.0,256.0,14.0,NVIDIA RTX 3060,3.11,Windows 11,1819.81
Samsung,Intel i3,4.0,2048.0,14.0,NVIDIA RTX 3060,2.07,macOS,1882.17
Acer,AMD Ryzen 3,4.0,256.0,17.3,NVIDIA RTX 3060,2.23,Linux,1314.81
Asus,Intel i5,8.0,256.0,15.6,NVIDIA RTX 4060,3.35,DOS,1650.35
Lenovo,AMD Ryzen 5,64.0,256.0,15.6,NVIDIA RTX 4060,1.44,macOS,2434.65
HP,Intel i9,64.0,512.0,17.3,NVIDIA RTX 3050,1.21,Windows 10,2694.01
Acer,Apple M2,16.0,512.0,15.6,NVIDIA RTX 3060,2.42,DOS,1995.61
HP,AMD Ryzen 7,8.0,256.0,13.3,NVIDIA RTX 4060,2.22,DOS,1862.35
MSI,Intel i5,4.0,1024.0,15.6,NVIDIA GTX 1650,2.06,Windows 10,1381.12
HP,Apple M1,4.0,2048.0,15.6,Integrated,2.79,Windows 11,1794.6
MSI,AMD Ryzen 3,64.0,256.0,14.0,AMD Radeon,2.71,Windows 10,2193.5
MSI,Apple M2,4.0,256.0,13.3,NVIDIA RTX 4060,3.0,DOS,2120.81
Lenovo,Intel i9,8.0,256.0,14.0,AMD Radeon,3.33,macOS,2047.13
HP,Apple M2,16.0,256.0,15.6,Integrated,1.48,Windows 11,1806.2
Dell,AMD Ryzen 7,64.0,1024.0,17.3,NVIDIA RTX 4060,,Windows 11,2936.19
Lenovo,AMD Ryzen 5,8.0,1024.0,15.6,AMD Radeon,2.68,Windows 10,1425.12
Lenovo,AMD Ryzen 3,8.0,2048.0,17.3,NVIDIA GTX 1650,2.3,DOS,1438.12
Dell,AMD Ryzen 3,8.0,2048.0,13.3,NVIDIA RTX 3060,2.3,macOS,1877.67
Apple,Intel i5,32.0,1024.0,15.6,NVIDIA RTX 4060,3.09,macOS,2475.19
MSI,AMD Ryzen 3,32.0,1024.0,13.3,NVIDIA RTX 3060,3.33,Linux,2053.78
Apple,Intel i7,8.0,512.0,13.3,NVIDIA RTX 3060,1.79,Linux,2132.97
Acer,Intel i7,8.0,2048.0,14.0,NVIDIA GTX 1650,2.12,DOS,1549.93
Dell,AMD Ryzen 7,32.0,512.0,15.6,NVIDIA RTX 4060,1.62,Windows 11,2350.02
HP,Apple M1,32.0,2048.0,17.3,AMD Radeon,3.05,Windows 11,2352.15
Acer,AMD Ryzen 7,64.0,512.0,17.3,Integrated,3.03,Windows 10,2040.82
Dell,Apple M1,4.0,512.0,15.6,NVIDIA RTX 4060,1.89,macOS,2406.74
MSI,Apple M2,8.0,1024.0,17.3,,2.24,Windows 10,2000.41
Dell,Intel i7,32.0,512.0,13.3,NVIDIA RTX 4060,1.42,DOS,2234.5
Asus,AMD Ryzen 7,16.0,512.0,13.3,AMD Radeon,2.65,Windows 11,1616.75
HP,Intel i7,64.0,512.0,15.6,NVIDIA GTX 1650,2.18,Windows 11,2470.35
MSI,Apple M1,32.0,512.0,15.6,NVIDIA RTX 3060,2.87,Windows 10,2647.41
Acer,Intel i9,64.0,256.0,17.3,NVIDIA RTX 3050,2.12,Windows 11,2613.27
Dell,AMD Ryzen 7,32.0,256.0,13.3,NVIDIA RTX 3060,1.36,DOS,1722.32
Samsung,AMD Ryzen 3,8.0,1024.0,14.0,NVIDIA RTX 3060,1.95,macOS,1588.71
HP,AMD Ryzen 7,32.0,512.0,14.0,Integrated,3.49,Linux,1428.97
Asus,Intel i9,64.0,256.0,13.3,Integrated,1.59,Windows 10,2233.43
Dell,AMD Ryzen 7,32.0,256.0,17.3,NVIDIA RTX 3060,3.46,macOS,2403.59
Acer,AMD Ryzen 7,32.0,1024.0,17.3,AMD Radeon,3.48,Linux,1802.21
Apple,AMD Ryzen 3,32.0,512.0,14.0,NVIDIA GTX 1650,3.01,Windows 11,2019.69
Asus,AMD Ryzen 5,32.0,512.0,13.3,AMD Radeon,1.47,Windows 10,1614.99
Dell,AMD Ryzen 3,8.0,1024.0,13.3,Integrated,,macOS,1204.27
MSI,Intel i9,8.0,1024.0,14.0,NVIDIA RTX 3050,3.01,Linux,2144.42
HP,Intel i3,8.0,512.0,14.0,NVIDIA RTX 4060,2.08,Windows 10,1757.29
Apple,Intel i7,32.0,512.0,13.3,NVIDIA RTX 4060,1.25,macOS,2932.86
HP,Intel i9,8.0,2048.0,14.0,Integrated,2.52,DOS,1862.98
Asus,Intel i3,64.0,2048.0,15.6,NVIDIA RTX 3050,2.12,Windows 11,2494.5
HP,Apple M1,64.0,512.0,17.3,Integrated,1.73,DOS,2335.71
Samsung,Intel i9,8.0,256.0,17.3,AMD Radeon,1.2,macOS,2103.54
Asus,AMD Ryzen 7,16.0,1024.0,15.6,NVIDIA RTX 4060,3.0,Windows 10,1998.35
Apple,Intel i5,64.0,1024.0,17.3,,2.19,Windows 11,2376.46
Dell,Intel i7,32.0,256.0,17.3,NVIDIA RTX 3060,3.49,Windows 11,2048.67
Asus,Intel i9,64.0,2048.0,17.3,NVIDIA RTX 3060,,Windows 10,2943.46
Asus,Intel i7,16.0,2048.0,14.0,AMD Radeon,1.61,DOS,1857.11
Apple,AMD Ryzen 7,8.0,512.0,15.6,NVIDIA RTX 4060,1.24,DOS,2323.79
HP,Apple M1,64.0,256.0,13.3,,3.12,DOS,3060.36
HP,AMD Ryzen 3,64.0,2048.0,17.3,Integrated,1.45,Linux,2144.07
Acer,Intel i9,64.0,512.0,14.0,NVIDIA RTX 3060,3.19,Linux,2871.36
Lenovo,Apple M2,64.0,2048.0,13.3,AMD Radeon,2.1,Windows 10,3238.7
Dell,Intel i3,4.0,256.0,13.3,NVIDIA GTX 1650,2.21,DOS,921.84
HP,Apple M1,64.0,2048.0,15.6,NVIDIA GTX 1650,2.09,Windows 11,2873.21
Asus,AMD Ryzen 7,64.0,1024.0,13.3,NVIDIA RTX 3060,2.38,DOS,2241.72
Samsung,Apple M2,16.0,256.0,13.3,NVIDIA RTX 3050,1.36,Windows 11,2340.18
Acer,Apple M1,8.0,1024.0,14.0,NVIDIA RTX 3060,2.0,macOS,2192.14
Asus,Intel i7,16.0,512.0,13.3,,2.72,Windows 10,1851.6
Samsung,Intel i3,4.0,256.0,14.0,NVIDIA GTX 1650,1.22,Linux,1103.21
Apple,Apple M2,4.0,256.0,14.0,AMD Radeon,3.26,Windows 10,2393.32
Asus,Apple M1,8.0,512.0,13.3,NVIDIA RTX 4060,,Linux,1907.17
HP,Intel i3,8.0,1024.0,13.3,Integrated,2.06,Linux,996.89
HP,AMD Ryzen 5,32.0,512.0,17.3,NVIDIA RTX 4060,2.75,macOS,2437.91
Samsung,AMD Ryzen 3,16.0,512.0,17.3,AMD Radeon,3.18,Windows 11,1430.19
MSI,Intel i5,64.0,256.0,14.0,NVIDIA RTX 4060,3.45,Linux,2348.33
Samsung,AMD Ryzen 5,16.0,256.0,14.0,NVIDIA RTX 3060,1.3,Windows 10,1537.58
Acer,Intel i9,16.0,512.0,15.6,,1.55,Linux,2039.54
Lenovo,AMD Ryzen 3,64.0,256.0,17.3,NVIDIA RTX 3050,1.88,macOS,2115.91
Apple,AMD Ryzen 7,32.0,1024.0,13.3,NVIDIA RTX 4060,1.57,Windows 10,2761.29
