student_id,major,gpa_range,semester,completed_courses,elective
STU0055,Science,Medium,Spring,Few,Cybersecurity
STU0056,Arts,Low,Fall,Moderate,WebDev
STU0057,Science,High,Spring,Moderate,CloudComputing
STU0058,Science,Medium,Summer,Few,WebDev
STU0059,Business,Low,Fall,Few,DataScience
STU0060,Science,Medium,Fall,Moderate,Cybersecurity
STU0061,Engineering,Low,Fall,Moderate,Cybersecurity
STU0062,Business,Medium,Fall,Few,AI
STU0063,Engineering,Medium,Summer,Few,AI
STU0064,Business,High,Spring,Moderate,GameDev
STU0065,Business,High,Spring,Few,GameDev
STU0066,Arts,Low,Spring,Moderate,WebDev
STU0067,Engineering,Medium,Fall,Many,Cybersecurity
STU0068,Science,Low,Fall,Moderate,DataScience
STU0069,Science,High,Summer,Moderate,CloudComputing
STU0070,Arts,High,Fall,Few,GameDev
STU0071,Science,High,Spring,Few,Cybersecurity
STU0072,Business,Low,Spring,Moderate,AI
STU0073,Arts,High,Spring,Few,WebDev
STU0074,Business,Low,Spring,Many,WebDev
STU0075,Science,Low,Summer,Moderate,GameDev
STU0076,Arts,High,Fall,Few,Cybersecurity
STU0077,Engineering,High,Spring,Many,AI
STU0078,Arts,Medium,Spring,Moderate,GameDev
STU0079,Engineering,Low,Fall,Few,WebDev
STU0080,Arts,High,Summer,Few,WebDev
STU0081,Business,Low,Summer,Many,DataScience
STU0082,Engineering,Medium,Spring,Many,CloudComputing
STU0083,Science,Low,Summer,Moderate,WebDev
STU0084,Business,Medium,Fall,Many,DataScience
STU0085,Engineering,Medium,Spring,Moderate,AI
STU0086,Science,Medium,Fall,Many,CloudComputing
STU0087,Arts,High,Summer,Moderate,WebDev
STU0088,Science,Low,Spring,Moderate,DataScience
STU0089,Engineering,High,Spring,Few,AI
STU0090,Arts,High,Fall,Moderate,Cybersecurity
STU0091,Engineering,High,Spring,Moderate,AI
STU0092,Arts,Low,Summer,Moderate,DataScience
STU0093,Arts,Low,Summer,Many,WebDev
STU0094,Engineering,Medium,Spring,Moderate,AI
STU0095,Business,Medium,Fall,Many,GameDev
STU0096,Science,Low,Spring,Few,WebDev
STU0097,Arts,Medium,Spring,Few,CloudComputing
STU0098,Engineering,Low,Spring,Moderate,WebDev
STU0099,Business,High,Fall,Few,DataScience
STU0100,Science,High,Spring,Moderate,Cybersecurity
STU0101,Science,High,Fall,Many,CloudComputing
STU0102,Business,High,Spring,Many,DataScience
STU0103,Business,Low,Summer,Moderate,DataScience
STU0104,Science,Medium,Spring,Few,WebDev
STU0105,Engineering,High,Fall,Moderate,AI
STU0106,Arts,Medium,Fall,Moderate,Cybersecurity
STU0107,Business,High,Fall,Many,DataScience
STU0108,Arts,Medium,Fall,Moderate,AI
STU0109,Business,Medium,Summer,Moderate,DataScience
STU0110,Engineering,High,Spring,Few,AI
STU0111,Engineering,High,Spring,Many,AI
STU0112,Business,High,Fall,Moderate,DataScience
STU0113,Engineering,High,Summer,Many,AI
STU0114,Science,High,Spring,Few,DataScience
STU0115,Engineering,Low,Fall,Few,GameDev
STU0116,Science,Low,Fall,Moderate,AI
STU0117,Business,Low,Summer,Moderate,GameDev
STU0118,Business,Medium,Fall,Few,CloudComputing
STU0119,Business,High,Summer,Moderate,Cybersecurity
STU0120,Business,High,Summer,Many,DataScience
STU0121,Arts,Medium,Spring,Many,CloudComputing
STU0122,Business,Low,Summer,Moderate,DataScience
STU0123,Science,Medium,Fall,Moderate,GameDev
STU0124,Arts,High,Spring,Moderate,CloudComputing
STU0125,Arts,High,Summer,Many,CloudComputing
STU0126,Science,Low,Fall,Many,CloudComputing
STU0127,Engineering,Low,Fall,Few,CloudComputing
STU0128,Arts,High,Summer,Few,WebDev
STU0129,Arts,Medium,Fall,Many,CloudComputing
STU0130,Business,High,Fall,Few,DataScience
STU0131,Arts,Low,Summer,Many,CloudComputing
STU0132,Science,High,Fall,Few,DataScience
STU0133,Engineering,Low,Spring,Many,GameDev
STU0134,Arts,Low,Summer,Many,CloudComputing
STU0135,Business,Low,Summer,Many,DataScience
STU0136,Engineering,Medium,Fall,Many,CloudComputing
STU0137,Science,Low,Spring,Moderate,CloudComputing
STU0138,Arts,High,Summer,Moderate,WebDev
STU0139,Business,Medium,Summer,Many,WebDev
STU0140,Business,High,Spring,Many,GameDev
STU0141,Science,High,Summer,Moderate,Cybersecurity
STU0142,Science,Medium,Summer,Many,CloudComputing
STU0143,Arts,High,Spring,Many,AI
STU0144,Engineering,Medium,Summer,Few,GameDev
STU0145,Arts,High,Summer,Few,CloudComputing
STU0146,Engineering,High,Spring,Many,AI
STU0147,Engineering,High,Fall,Few,WebDev
STU0148,Arts,High,Summer,Many,CloudComputing
STU0149,Engineering,High,Fall,Moderate,AI
STU0150,Engineering,Low,Fall,Few,DataScience
STU0151,Science,High,Fall,Few,Cybersecurity
STU0152,Arts,Low,Spring,Few,GameDev
STU0153,Business,Low,Summer,Few,WebDev
STU0154,Engineering,Medium,Fall,Many,CloudComputing
STU0155,Arts,Low,Spring,Moderate,AI
STU0156,Science,Low,Summer,Moderate,DataScience
STU0157,Science,Low,Spring,Many,CloudComputing
STU0158,Business,Medium,Spring,Few,DataScience
STU0159,Engineering,High,Spring,Many,AI
STU0160,Arts,High,Spring,Few,AI
STU0161,Engineering,Low,Fall,Few,Cybersecurity
STU0162,Arts,High,Summer,Few,DataScience
STU0163,Arts,High,Fall,Few,AI
STU0164,Business,Medium,Summer,Moderate,DataScience
STU0165,Arts,Medium,Spring,Many,CloudComputing
STU0166,Business,Low,Summer,Moderate,DataScience
STU0167,Business,Low,Fall,Few,DataScience
STU0168,Science,High,Summer,Moderate,CloudComputing
STU0169,Science,Medium,Fall,Moderate,GameDev
STU0170,Engineering,Low,Summer,Moderate,WebDev
STU0171,Business,Low,Summer,Few,CloudComputing
STU0172,Business,High,Summer,Moderate,DataScience
STU0173,Business,Medium,Fall,Many,DataScience
STU0174,Science,High,Summer,Many,GameDev
STU0175,Business,Medium,Spring,Moderate,AI
STU0176,Science,High,Summer,Few,GameDev
STU0177,Arts,High,Spring,Few,WebDev
STU0178,Arts,Low,Summer,Moderate,WebDev
STU0179,Science,High,Summer,Moderate,GameDev
STU0180,Arts,Medium,Spring,Few,GameDev
STU0181,Science,Low,Fall,Moderate,GameDev
STU0182,Business,Medium,Summer,Few,CloudComputing
STU0183,Arts,High,Fall,Moderate,CloudComputing
STU0184,Science,Medium,Spring,Many,CloudComputing
STU0185,Engineering,High,Summer,Many,AI
STU0186,Arts,Medium,Summer,Many,CloudComputing
STU0187,Business,High,Spring,Many,DataScience
STU0188,Business,Medium,Summer,Many,CloudComputing
STU0189,Science,Low,Summer,Few,AI
STU0190,Science,Medium,Fall,Moderate,GameDev
STU0191,Business,Medium,Fall,Many,DataScience
STU0192,Engineering,Medium,Spring,Few,DataScience
STU0193,Arts,Low,Spring,Many,DataScience
STU0194,Arts,High,Fall,Many,Cybersecurity
STU0195,Arts,Low,Fall,Many,CloudComputing
STU0196,Arts,Low,Fall,Many,AI
STU0197,Business,Medium,Spring,Moderate,DataScience
STU0198,Arts,Low,Summer,Few,CloudComputing
STU0199,Business,Low,Fall,Few,CloudComputing
STU0200,Arts,Medium,Summer,Moderate,AI
STU0201,Arts,Low,Summer,Moderate,
