Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Kilometers_Driven,Owner_Type,Mileage_kmpl,Engine_CC,Power_bhp,Seats,Price
CAR0033,Maruti,Alto,2017,Petrol,Manual,18259,First,11.0,1000.0,193.5,7.0,3.32
CAR0034,Nissan,Terrano,2015,Petrol,Automatic,138775,Third,21.5,1000.0,139.9,5.0,1.61
CAR0035,Chevrolet,Trailblazer,2019,Diesel,Manual,24849,First,18.8,,159.3,5.0,4.38
CAR0036,Ford,EcoSport,2014,Petrol,Automatic,91768,Second,21.7,800.0,,5.0,1.87
CAR0037,Hyundai,Venue,2012,Diesel,Automatic,116108,First,21.3,1200.0,109.0,5.0,2.03
CAR0038,Maruti,WagonR,2013,Petrol,Manual,99709,First,22.0,1000.0,85.5,5.0,1.41
CAR0039,Mahindra,Marazzo,2013,Petrol,Manual,64869,First,17.8,1800.0,64.5,5.0,2.01
CAR0040,Hyundai,Venue,2013,Diesel,Automatic,136888,First,12.1,1500.0,,4.0,1.85
CAR0041,Maruti,Ertiga,2013,Diesel,Manual,73095,First,20.1,1000.0,169.6,4.0,1.94
CAR0042,Honda,Jazz,2019,Petrol,Manual,127886,First,19.3,1200.0,,8.0,4.41
CAR0043,Maruti,Vitara Brezza,2014,Diesel,Manual,80910,Third,21.1,1500.0,132.0,5.0,1.73
CAR0044,Volkswagen,Vento,2016,Diesel,Manual,33567,Fourth & Above,12.5,2200.0,121.3,5.0,2.99
CAR0045,Hyundai,Santro,2021,Petrol,Manual,45292,Second,12.9,1000.0,188.4,7.0,4.71
CAR0046,Tata,Tiago,2017,Diesel,Manual,84813,Third,23.4,1800.0,60.9,5.0,1.98
CAR0047,Hyundai,i20,2019,Diesel,Manual,107136,First,21.2,2000.0,92.1,5.0,4.02
CAR0048,Honda,CR-V,2013,Diesel,Manual,61631,Fourth & Above,23.6,2000.0,102.5,5.0,1.95
CAR0049,Honda,City,2014,Diesel,Automatic,19885,First,21.4,1500.0,167.4,5.0,4.23
CAR0050,Maruti,Dzire,2011,Diesel,Manual,76314,Fourth & Above,19.0,1500.0,198.9,5.0,1.11
CAR0051,Chevrolet,Spark,2013,Diesel,Automatic,75087,Fourth & Above,19.8,1200.0,86.1,5.0,1.37
CAR0052,Ford,Freestyle,2015,Diesel,Manual,105998,Second,23.3,1600.0,181.1,8.0,2.65
CAR0053,Nissan,Magnite,2013,Diesel,Manual,59812,Fourth & Above,18.7,1200.0,,5.0,1.3
CAR0054,Renault,Kiger,2012,Diesel,Manual,68643,Second,19.5,1500.0,83.7,5.0,1.19
CAR0055,Tata,Nexon,2013,Diesel,Manual,54900,First,12.3,1200.0,109.9,5.0,1.86
CAR0056,Volkswagen,Vento,2017,Diesel,Manual,148923,First,17.1,1500.0,111.5,5.0,3.74
CAR0057,Maruti,Ertiga,2014,Petrol,Manual,26288,Second,20.7,1600.0,196.7,7.0,2.15
CAR0058,Maruti,Dzire,2016,Diesel,Manual,82692,First,14.1,1000.0,77.1,5.0,2.3
CAR0059,Maruti,Ertiga,2017,Diesel,Manual,148440,Second,13.0,1600.0,169.9,5.0,2.34
CAR0060,Hyundai,Creta,2019,Petrol,Manual,95436,Fourth & Above,14.7,1200.0,100.1,7.0,2.67
CAR0061,Hyundai,Santro,2011,Diesel,Manual,56403,First,13.6,1600.0,159.6,5.0,1.82
CAR0062,Hyundai,Santro,2020,Petrol,Manual,101170,Second,13.2,1200.0,113.0,5.0,3.07
CAR0063,Toyota,Camry,2018,Petrol,Automatic,19168,Third,16.4,1200.0,136.8,5.0,5.14
CAR0064,Hyundai,Venue,2012,Diesel,Manual,59879,Third,23.6,2000.0,174.9,7.0,2.18
CAR0065,Hyundai,Santro,2021,Petrol,Manual,69871,Fourth & Above,17.6,1000.0,170.6,5.0,2.98
CAR0066,Honda,Jazz,2021,Diesel,Automatic,42174,Second,12.8,1600.0,180.0,7.0,8.57
CAR0067,Maruti,Ertiga,2011,Diesel,Manual,147653,Fourth & Above,11.2,1200.0,58.9,5.0,1.0
CAR0068,Ford,Figo,2015,Petrol,Manual,120155,Second,20.4,1200.0,153.8,5.0,1.81
CAR0069,Maruti,Ertiga,2020,Petrol,Automatic,81853,First,15.7,1200.0,71.0,7.0,4.41
CAR0070,Skoda,Octavia,2019,Petrol,Manual,74046,First,22.3,1500.0,112.4,5.0,5.25
CAR0071,Ford,Aspire,2014,Diesel,Manual,59678,Second,19.9,1200.0,132.3,5.0,2.01
CAR0072,Maruti,Alto,2014,Electric,Manual,36649,First,21.9,800.0,110.4,5.0,2.79
CAR0073,Maruti,Baleno,2016,Diesel,Manual,137795,Second,14.1,1000.0,127.9,5.0,1.9
CAR0074,Toyota,Fortuner,2017,Petrol,Manual,98668,Second,20.4,800.0,199.5,5.0,3.76
CAR0075,Mahindra,Marazzo,2018,Diesel,Manual,99906,First,14.0,2200.0,,5.0,3.51
CAR0076,Mahindra,Marazzo,2016,Petrol,Manual,106019,Second,24.1,2200.0,151.3,5.0,2.38
CAR0077,Ford,Aspire,2017,Diesel,Manual,88002,Second,19.5,1200.0,109.4,5.0,2.71
CAR0078,Maruti,Baleno,2019,Petrol,Automatic,38803,First,,1500.0,70.0,4.0,3.78
CAR0079,Hyundai,Grand i10,2011,Diesel,Automatic,40795,First,14.0,1200.0,73.8,5.0,2.18
CAR0080,Maruti,Baleno,2015,Petrol,Manual,18770,First,12.9,1500.0,192.4,5.0,2.36
CAR0081,Renault,Captur,2019,CNG,Manual,21093,First,20.4,1600.0,181.9,7.0,3.36
CAR0082,Tata,Nexon,2021,Petrol,Manual,141265,Third,13.3,2000.0,186.1,5.0,2.47
CAR0083,Hyundai,Verna,2017,Diesel,Manual,110311,First,18.9,1200.0,198.7,5.0,2.84
CAR0084,Maruti,Dzire,2018,CNG,Manual,27569,Second,14.0,1600.0,,8.0,3.14
CAR0085,Hyundai,Elantra,2012,Petrol,Manual,21190,First,19.9,1000.0,103.3,5.0,1.89
CAR0086,Hyundai,Grand i10,2017,CNG,Automatic,72824,First,22.2,,150.4,7.0,4.31
CAR0087,Mahindra,XUV300,2018,Diesel,Manual,52070,Third,21.7,800.0,122.6,5.0,3.46
CAR0088,Tata,Safari,2014,Petrol,Manual,50197,Second,21.4,1500.0,112.8,,1.6
CAR0089,Renault,Kiger,2015,Petrol,Manual,12261,First,12.8,1500.0,103.7,5.0,1.83
CAR0090,Honda,Civic,2016,Diesel,Manual,147788,First,11.3,1500.0,139.1,5.0,3.07
CAR0091,Maruti,WagonR,2010,Petrol,Automatic,96795,First,20.5,1000.0,136.3,5.0,1.48
CAR0092,Mahindra,Marazzo,2015,Diesel,Automatic,38933,First,15.5,2000.0,74.2,5.0,3.53
CAR0093,Ford,Figo,2014,Petrol,Automatic,145450,Second,16.5,1000.0,120.8,,1.7
CAR0094,Honda,Civic,2015,Diesel,Manual,50583,First,10.5,1500.0,133.0,5.0,3.53
CAR0095,Ford,Aspire,2012,Petrol,Manual,122082,First,13.9,1000.0,135.5,5.0,1.25
CAR0096,Honda,Amaze,2021,Diesel,Manual,95371,First,10.5,1200.0,81.5,5.0,5.07
CAR0097,Honda,Amaze,2018,CNG,Manual,121032,Third,23.2,1200.0,161.3,5.0,2.46
CAR0098,Hyundai,Elantra,2019,CNG,Manual,52604,Fourth & Above,13.7,1200.0,53.8,5.0,2.22
CAR0099,Maruti,Dzire,2020,Diesel,Automatic,105074,First,18.4,1000.0,103.2,8.0,4.72
CAR0100,Maruti,WagonR,2017,Petrol,Manual,83869,Second,10.6,1000.0,167.0,5.0,2.09
CAR0101,Maruti,Vitara Brezza,2012,Diesel,Manual,15410,First,20.0,1200.0,134.6,7.0,2.15
CAR0102,Tata,Safari,2018,Petrol,Manual,93375,First,14.8,1600.0,89.2,5.0,2.42
CAR0103,Hyundai,Elantra,2018,Petrol,Manual,106055,Second,23.5,1800.0,154.2,5.0,3.21
CAR0104,Honda,CR-V,2019,Petrol,Manual,147868,Third,23.3,800.0,135.1,5.0,3.0
CAR0105,Volkswagen,Vento,2017,Petrol,Automatic,96716,Fourth & Above,14.9,1200.0,169.4,5.0,3.11
CAR0106,Maruti,Dzire,2013,Diesel,Automatic,64245,Second,23.5,1000.0,160.3,5.0,2.15
CAR0107,Hyundai,Elantra,2015,Diesel,Automatic,53056,First,24.9,800.0,141.5,5.0,3.17
CAR0108,Ford,Figo,2016,Petrol,Manual,68557,Second,22.4,1500.0,123.2,5.0,2.13
CAR0109,Maruti,Ertiga,2019,Petrol,Manual,27543,First,22.7,1500.0,70.0,5.0,3.43
CAR0110,Maruti,WagonR,2018,Electric,Manual,106038,Second,13.7,1000.0,89.2,5.0,2.63
CAR0111,Hyundai,i20,2016,Petrol,Manual,13828,First,18.7,1000.0,112.9,5.0,2.81
CAR0112,Maruti,Dzire,2023,Petrol,Automatic,126656,Second,,800.0,139.9,5.0,4.97
CAR0113,Volkswagen,Virtus,2018,Petrol,Manual,27087,First,11.4,1600.0,127.1,,5.6
CAR0114,Ford,Figo,2014,Diesel,Manual,41337,First,25.0,2200.0,93.2,5.0,2.41
CAR0115,Tata,Altroz,2012,Diesel,Manual,146554,Third,14.9,1000.0,51.0,5.0,1.0
CAR0116,Renault,Kiger,2013,Petrol,Manual,75333,First,21.2,1000.0,124.4,5.0,1.48
CAR0117,Ford,Aspire,2014,Petrol,Automatic,146535,Second,22.1,1800.0,92.8,5.0,1.79
CAR0118,Maruti,Dzire,2013,Diesel,Manual,80448,First,22.9,2000.0,160.2,5.0,2.23
CAR0119,Renault,Kiger,2014,Diesel,Manual,14648,First,25.0,1200.0,53.6,5.0,1.94
CAR0120,Honda,Jazz,2015,Petrol,Manual,140576,First,13.6,800.0,137.7,5.0,2.37
CAR0121,Ford,EcoSport,2013,CNG,Manual,43623,First,10.6,800.0,191.2,5.0,1.6
CAR0122,Renault,Duster,2021,Petrol,Automatic,45634,Third,16.2,1500.0,76.2,7.0,3.18
CAR0123,Hyundai,Verna,2012,Petrol,Automatic,124598,First,12.0,1200.0,120.7,7.0,2.04
CAR0124,Maruti,WagonR,2018,CNG,Automatic,59334,Fourth & Above,10.3,800.0,63.7,5.0,2.18
CAR0125,Maruti,Swift,2016,Petrol,Automatic,78648,Second,15.4,1500.0,143.9,5.0,2.36
CAR0126,Hyundai,Venue,2023,Diesel,Manual,32054,First,21.8,800.0,132.6,5.0,7.33
CAR0127,Toyota,Innova,2012,Petrol,Manual,80028,Second,18.5,1600.0,111.1,4.0,2.53
CAR0128,Renault,Triber,2016,Petrol,Manual,32207,Second,14.7,1200.0,128.2,5.0,1.91
CAR0129,Maruti,Alto,2022,Electric,Manual,91554,Second,19.8,800.0,184.5,5.0,4.8
CAR0130,Honda,Jazz,2021,Petrol,Automatic,93276,First,13.5,1500.0,79.4,7.0,6.22
CAR0131,Hyundai,Elantra,2020,Diesel,Manual,62781,First,10.2,1200.0,53.4,4.0,3.86
CAR0132,Maruti,Baleno,2015,Petrol,Automatic,71035,Third,21.5,2200.0,179.2,5.0,2.03
CAR0133,Maruti,WagonR,2013,Petrol,Manual,18210,Third,19.4,1200.0,136.6,5.0,1.54
CAR0134,Hyundai,i20,2019,Petrol,Manual,54363,Third,21.4,1000.0,183.6,5.0,3.11
CAR0135,Nissan,Terrano,2021,Diesel,Manual,88279,First,10.6,1500.0,139.5,5.0,3.98
CAR0136,Hyundai,Verna,2018,Petrol,Automatic,144393,Second,22.6,1000.0,171.5,8.0,3.21
CAR0137,Honda,Jazz,2018,Diesel,Manual,91348,First,19.3,2000.0,114.5,5.0,4.96
CAR0138,Mahindra,Bolero,2015,Petrol,Manual,123816,First,18.5,1200.0,162.5,5.0,2.13
CAR0139,Hyundai,Elantra,2020,CNG,Manual,133053,First,19.4,1200.0,187.0,5.0,3.3
CAR0140,Chevrolet,Beat,2014,Petrol,Manual,76262,Second,23.0,800.0,135.8,5.0,1.64
CAR0141,Chevrolet,Beat,2015,Diesel,Manual,144832,First,18.8,1200.0,77.1,5.0,1.58
CAR0142,Hyundai,Verna,2017,Diesel,Automatic,77411,First,18.7,1600.0,90.3,5.0,4.36
CAR0143,Honda,WR-V,2017,Diesel,Manual,33377,Third,24.9,1600.0,79.8,5.0,3.41
CAR0144,Hyundai,Grand i10,2014,Diesel,Manual,48211,First,21.4,1000.0,87.0,7.0,2.79
CAR0145,Hyundai,Verna,2012,Diesel,Manual,13744,First,16.6,1000.0,96.0,5.0,1.96
CAR0146,Maruti,Ertiga,2018,Diesel,Manual,34995,First,20.6,1600.0,133.3,5.0,4.17
CAR0147,Tata,Altroz,2015,Petrol,Automatic,44542,Third,15.8,2000.0,138.2,5.0,1.96
CAR0148,Honda,Amaze,2018,Petrol,Manual,20651,Second,13.4,800.0,114.0,5.0,3.69
CAR0149,Maruti,Baleno,2013,CNG,Manual,109239,First,19.0,1200.0,142.3,5.0,1.56
CAR0150,Hyundai,Santro,2017,Diesel,Manual,88931,Third,23.9,1200.0,62.2,5.0,2.41
CAR0151,Volkswagen,Taigun,2018,Diesel,Automatic,112112,Third,23.9,1800.0,,5.0,4.43
CAR0152,Maruti,Dzire,2011,Petrol,Automatic,26715,First,15.1,800.0,75.8,4.0,1.52
CAR0153,Maruti,Baleno,2016,Petrol,Manual,71350,Second,17.9,1000.0,127.7,,2.03
CAR0154,Honda,Civic,2013,Petrol,Manual,81425,Second,13.2,1600.0,82.1,7.0,2.09
CAR0155,Skoda,Rapid,2011,Diesel,Manual,96120,Second,24.9,800.0,92.5,5.0,1.92
CAR0156,Maruti,Baleno,2023,Petrol,Automatic,124889,First,24.7,1200.0,110.0,,5.73
CAR0157,Mahindra,Scorpio,2015,Petrol,Manual,84637,Third,19.7,1200.0,171.8,5.0,1.92
CAR0158,Ford,Endeavour,2020,Petrol,Manual,80194,Second,22.1,1200.0,52.1,7.0,3.79
CAR0159,Maruti,Vitara Brezza,2015,Petrol,Manual,86917,First,20.7,1200.0,147.4,5.0,2.12
CAR0160,Mahindra,XUV300,2019,Diesel,Manual,74200,First,18.9,1200.0,150.3,5.0,4.57
CAR0161,Hyundai,Elantra,2020,Petrol,Manual,115848,First,10.8,1000.0,169.8,4.0,3.61
CAR0162,Tata,Harrier,2018,Diesel,Automatic,116022,First,16.8,1500.0,189.9,5.0,3.16
CAR0163,Tata,Harrier,2017,Petrol,Manual,70058,Second,20.1,1600.0,53.0,5.0,2.03
CAR0164,Honda,CR-V,2016,Petrol,Manual,72068,First,20.2,1600.0,73.1,5.0,3.36
CAR0165,Maruti,Alto,2016,Petrol,Manual,109932,First,15.6,1000.0,182.9,5.0,1.89
CAR0166,Toyota,Camry,2021,Petrol,Automatic,147103,Second,24.1,1000.0,118.8,5.0,6.19
CAR0167,Hyundai,i20,2020,Petrol,Manual,32785,First,12.5,1000.0,134.7,5.0,4.4
CAR0168,Maruti,Ertiga,2022,Petrol,Automatic,104475,Fourth & Above,17.5,1200.0,149.5,5.0,3.39
CAR0169,Maruti,Vitara Brezza,2013,Diesel,Manual,12282,First,20.4,1200.0,151.9,5.0,2.31
CAR0170,Tata,Nexon,2019,Petrol,Manual,77534,First,20.5,1500.0,189.8,5.0,2.73
CAR0171,Mahindra,Thar,2022,Diesel,Manual,84964,First,19.7,800.0,199.5,8.0,7.32
CAR0172,Maruti,Baleno,2014,Diesel,Manual,129006,First,14.1,800.0,158.0,8.0,1.89
CAR0173,Honda,Civic,2011,Diesel,Manual,60583,First,12.3,1200.0,93.1,7.0,2.29
CAR0174,Maruti,Vitara Brezza,2019,Petrol,Automatic,48392,Second,19.5,1500.0,182.0,5.0,3.73
CAR0175,Tata,Harrier,2018,Petrol,Manual,17461,Fourth & Above,19.0,1000.0,57.4,5.0,1.93
CAR0176,Maruti,Dzire,2020,Petrol,Manual,110123,First,12.7,1500.0,84.7,5.0,2.7
CAR0177,Mahindra,XUV300,2013,Petrol,Manual,20516,Second,20.6,1000.0,184.6,5.0,1.91
CAR0178,Hyundai,Venue,2020,Electric,Automatic,131251,Second,16.8,1800.0,88.4,5.0,4.43
CAR0179,Nissan,Kicks,2014,Petrol,Automatic,72493,Third,20.0,1800.0,83.1,5.0,1.85
CAR0180,Maruti,Vitara Brezza,2013,Petrol,Manual,46027,First,22.6,1000.0,70.7,5.0,1.75
CAR0181,Hyundai,Elantra,2013,Diesel,Automatic,103547,First,12.5,1000.0,178.9,5.0,2.23
CAR0182,Maruti,Alto,2020,Diesel,Manual,110127,First,10.3,1200.0,125.0,5.0,3.61
CAR0183,Volkswagen,Vento,2019,Diesel,Manual,89003,Second,21.7,1000.0,151.2,7.0,5.84
CAR0184,Renault,Captur,2018,Petrol,Automatic,49758,Third,19.1,1500.0,85.9,5.0,2.24
CAR0185,Hyundai,Santro,2016,Petrol,Automatic,64312,First,20.5,1600.0,163.7,5.0,3.64
CAR0186,Tata,Altroz,2021,Petrol,Manual,78670,First,22.6,1500.0,164.0,7.0,4.25
CAR0187,Toyota,Fortuner,2016,Petrol,Manual,92279,Third,22.0,1600.0,96.9,5.0,3.15
CAR0188,Honda,Civic,2020,Petrol,Manual,25434,Third,24.4,1200.0,,5.0,4.14
CAR0189,Honda,Jazz,2017,Petrol,Automatic,85769,Fourth & Above,18.0,1000.0,81.5,5.0,2.32
CAR0190,Maruti,Alto,2016,Petrol,Manual,76677,Second,17.3,1500.0,196.5,5.0,2.08
CAR0191,Maruti,Ertiga,2017,Petrol,Manual,93555,First,16.0,1200.0,146.8,7.0,2.82
CAR0192,Renault,Captur,2015,Petrol,Manual,138379,Second,12.3,1500.0,190.2,5.0,1.32
CAR0193,Volkswagen,Tiguan,2019,Diesel,Manual,111665,Second,18.6,1000.0,95.5,5.0,3.92
CAR0194,Tata,Safari,2017,Diesel,Manual,78803,First,14.2,800.0,167.3,5.0,2.51
CAR0195,Hyundai,Creta,2014,Diesel,Automatic,101703,Second,23.8,2500.0,164.9,4.0,2.55
CAR0196,Hyundai,Santro,2021,Petrol,Manual,31312,Second,18.7,1000.0,153.7,8.0,4.67
CAR0197,Mahindra,Thar,2016,Petrol,Manual,127961,First,18.9,2500.0,194.8,5.0,2.74
CAR0198,Renault,Duster,2018,Petrol,Manual,50379,Second,15.3,2200.0,109.0,5.0,2.54
CAR0199,Renault,Duster,2021,Diesel,Automatic,27297,Second,,1600.0,69.6,5.0,4.64
CAR0200,Ford,Aspire,2018,Diesel,Manual,12011,Fourth & Above,10.5,1500.0,150.8,5.0,2.74
CAR0201,Tata,Punch,2012,Petrol,Manual,130234,First,,1500.0,159.4,7.0,1.23
CAR0202,Maruti,Vitara Brezza,2022,CNG,Automatic,54014,First,11.3,1800.0,136.3,5.0,5.47
CAR0203,Maruti,Swift,2018,Petrol,Automatic,104333,Second,19.1,1000.0,81.0,5.0,2.54
CAR0204,Renault,Triber,2016,Petrol,Automatic,21120,First,23.2,1200.0,125.7,5.0,2.71
CAR0205,Tata,Nexon,2013,Diesel,Automatic,149839,Second,23.2,1500.0,96.8,5.0,1.52
CAR0206,Maruti,Dzire,2020,Diesel,Manual,32852,Second,19.9,1200.0,114.1,5.0,3.87
CAR0207,Maruti,Ertiga,2018,Diesel,Automatic,89239,First,13.2,1200.0,146.8,7.0,4.04
CAR0208,Tata,Punch,2018,Diesel,Manual,142001,Second,22.9,1200.0,161.8,5.0,2.09
CAR0209,Maruti,Dzire,2021,Petrol,Automatic,101575,Second,23.3,1500.0,84.8,7.0,4.01
CAR0210,Maruti,WagonR,2020,Diesel,Automatic,105040,First,12.9,1800.0,110.8,5.0,4.62
CAR0211,Honda,WR-V,2013,Petrol,Automatic,15744,Third,21.1,1000.0,90.4,5.0,2.18
CAR0212,Mahindra,XUV300,2015,Diesel,Manual,148141,Third,14.3,2000.0,79.8,5.0,1.85
CAR0213,Tata,Tiago,2014,Petrol,Manual,52359,Second,22.0,1500.0,167.5,5.0,1.7
CAR0214,Maruti,Baleno,2019,Diesel,Manual,108746,Second,,1600.0,186.4,7.0,3.81
CAR0215,Mahindra,Marazzo,2011,Petrol,Automatic,130906,First,,1500.0,105.5,5.0,1.53
CAR0216,Maruti,Ertiga,2018,Diesel,Automatic,17597,Third,23.5,1600.0,162.7,5.0,3.68
CAR0217,Hyundai,Creta,2020,Petrol,Manual,57093,Second,19.3,800.0,184.5,5.0,3.73
CAR0218,Mahindra,XUV500,2021,Diesel,Manual,124650,Second,24.6,1600.0,176.9,5.0,4.66
CAR0219,Tata,Safari,2016,Petrol,Manual,130956,Third,17.0,800.0,77.4,5.0,1.26
CAR0220,Toyota,Fortuner,2020,Petrol,Automatic,125598,First,22.7,1800.0,193.4,5.0,7.47
CAR0221,Tata,Punch,2012,Petrol,Automatic,143241,Third,10.9,2500.0,106.5,5.0,1.18
CAR0222,Honda,Amaze,2020,Petrol,Manual,18036,First,,1000.0,100.9,5.0,5.42
CAR0223,Maruti,Baleno,2013,Diesel,Manual,41778,First,11.0,1000.0,59.4,4.0,1.76
CAR0224,Hyundai,Venue,2016,Petrol,Automatic,147416,First,24.6,1600.0,122.9,5.0,3.01
CAR0225,Hyundai,Santro,2020,CNG,Automatic,28800,Fourth & Above,22.3,1000.0,66.4,5.0,3.19
CAR0226,Maruti,Alto,2013,Petrol,Manual,35372,Third,22.8,1800.0,87.3,5.0,1.37
CAR0227,Chevrolet,Spark,2014,Petrol,Manual,71516,Second,24.1,,97.5,8.0,1.66
CAR0228,Hyundai,Venue,2019,Diesel,Manual,30538,Second,11.3,1000.0,171.3,5.0,3.97
CAR0229,Renault,Captur,2019,Diesel,Manual,73918,Second,15.8,,181.3,5.0,3.07
CAR0230,Tata,Punch,2019,Petrol,Manual,81155,Third,11.1,1500.0,95.4,5.0,2.07
CAR0231,Ford,EcoSport,2019,Diesel,Manual,69500,First,13.2,1600.0,178.8,5.0,4.37
CAR0232,Honda,Civic,2018,Diesel,Automatic,120659,First,13.4,1200.0,178.6,5.0,4.85
CAR0233,Tata,Punch,2015,Petrol,Manual,37716,First,17.0,,164.7,5.0,1.99
CAR0234,Honda,CR-V,2016,Electric,Automatic,144308,Second,14.0,1500.0,72.0,4.0,3.27
CAR0235,Maruti,Vitara Brezza,2014,CNG,Manual,12352,Second,11.5,1500.0,153.5,4.0,1.74
CAR0236,Mahindra,Marazzo,2021,Diesel,Manual,143004,First,12.5,1500.0,191.8,5.0,4.69
CAR0237,Hyundai,Venue,2018,Petrol,Manual,86449,First,12.2,1500.0,152.4,7.0,3.6
CAR0238,Maruti,Swift,2016,Diesel,Manual,18556,Third,24.6,1200.0,99.7,7.0,2.36
CAR0239,Tata,Nexon,2017,Petrol,Automatic,96836,First,21.4,1000.0,125.1,5.0,2.77
CAR0240,Maruti,Swift,2022,Petrol,Automatic,146570,Second,24.5,1600.0,146.9,5.0,4.24
CAR0241,Nissan,Magnite,2013,Petrol,Manual,60098,Fourth & Above,,1000.0,126.6,7.0,1.3
CAR0242,Nissan,Terrano,2018,Petrol,Manual,122169,First,14.2,1500.0,68.0,5.0,2.1
CAR0243,Volkswagen,Tiguan,2017,Diesel,Automatic,136060,First,22.0,1000.0,96.8,7.0,5.04
CAR0244,Hyundai,Venue,2018,Diesel,Manual,140544,Second,14.9,1500.0,170.4,5.0,2.86
CAR0245,Maruti,Baleno,2010,Diesel,Manual,10340,Third,14.5,1500.0,179.2,7.0,1.35
CAR0246,Volkswagen,Virtus,2021,Petrol,Automatic,92302,Second,13.5,1000.0,70.6,5.0,5.05
CAR0247,Hyundai,Verna,2022,Petrol,Manual,10138,Fourth & Above,11.9,800.0,192.9,7.0,4.47
CAR0248,Chevrolet,Beat,2018,Petrol,Manual,141430,First,13.8,,99.3,5.0,1.98
CAR0249,Chevrolet,Trailblazer,2019,Electric,Manual,129619,Second,15.3,1500.0,149.3,5.0,2.72
CAR0250,Toyota,Urban Cruiser,2021,Petrol,Automatic,95376,Second,20.1,1600.0,162.8,7.0,8.91
CAR0251,Hyundai,Grand i10,2019,Diesel,Manual,109931,Third,10.9,800.0,171.8,5.0,2.75
CAR0252,Hyundai,Elantra,2013,Diesel,Manual,91532,First,13.2,1500.0,191.9,5.0,2.01
CAR0253,Toyota,Camry,2018,Petrol,Automatic,65778,Third,22.1,1200.0,96.9,5.0,4.53
