EmployeeID,Age,Department,Education,YearsAtCompany,DistanceFromHome_km,MonthlyWorkingHours,PerformanceRating,Salary,Attrition
1161,58.0,Finance,PhD,20.0,23.0,206.0,2.0,75200.0,No
1162,46.0,Marketing,Masters,17.0,35.0,209.0,4.0,68400.0,No
1163,37.0,IT,Masters,3.0,44.0,185.0,5.0,52900.0,No
1164,37.0,Sales,Masters,18.0,23.0,190.0,2.0,64600.0,No
1165,37.0,Sales,High School,19.0,40.0,165.0,1.0,54000.0,Yes
1166,52.0,Finance,Bachelors,10.0,45.0,198.0,5.0,58300.0,No
1167,33.0,Marketing,High School,24.0,39.0,460.0,1.0,57200.0,Yes
1168,28.0,Sales,Bachelors,16.0,21.0,204.0,3.0,46500.0,No
1169,34.0,Sales,Masters,8.0,15.0,166.0,2.0,52500.0,No
1170,22.0,HR,Masters,0.0,45.0,197.0,1.0,29800.0,Yes
1171,25.0,Sales,Masters,17.0,11.0,178.0,4.0,54500.0,No
1172,25.0,Marketing,Bachelors,5.0,19.0,161.0,,41600.0,Yes
1173,50.0,IT,Masters,19.0,4.0,500.0,4.0,70600.0,No
1174,48.0,Sales,Bachelors,13.0,36.0,183.0,,56400.0,Yes
1175,47.0,Marketing,Bachelors,12.0,30.0,169.0,1.0,52700.0,Yes
1176,39.0,Sales,Masters,4.0,4.0,156.0,1.0,51900.0,Yes
1177,48.0,IT,PhD,18.0,10.0,175.0,4.0,70600.0,No
1178,27.0,Sales,Masters,4.0,25.0,189.0,,,
1179,55.0,Sales,High School,10.0,25.0,169.0,,,
1180,40.0,Sales,Masters,21.0,37.0,207.0,,,
