date,temperature,humidity,rained_today,bought_umbrella
10-03-2025,18.6,61.1,Yes,Yes
11-03-2025,27.9,49.8,No,No
12-03-2025,23.7,74.6,No,Yes
13-03-2025,29.3,57.8,Yes,No
14-03-2025,27.8,47.6,Yes,No
15-03-2025,24.6,55.2,No,No
16-03-2025,19.9,66.2,No,No
17-03-2025,15.9,51.5,No,No
18-03-2025,22.3,47.7,No,No
19-03-2025,30.1,63.7,Yes,Yes
20-03-2025,26.3,63.7,No,No
21-03-2025,17.5,52.4,Yes,Yes
22-03-2025,26.0,52.9,No,No
23-03-2025,27.3,63.5,No,No
24-03-2025,19.7,38.3,Yes,Yes
25-03-2025,25.9,38.9,Yes,No
26-03-2025,25.3,49.2,Yes,Yes
27-03-2025,18.1,56.8,Yes,Yes
28-03-2025,27.1,64.7,No,No
29-03-2025,28.4,82.1,No,No
30-03-2025,31.5,72.9,No,Yes
31-03-2025,31.3,57.6,No,Yes
01-04-2025,16.7,59.7,Yes,Yes
02-04-2025,19.4,45.0,No,No
03-04-2025,28.1,59.7,No,No
04-04-2025,28.1,55.7,No,No
05-04-2025,28.1,64.8,No,Yes
06-04-2025,48.1,47.6,No,No
07-04-2025,28.4,67.8,No,No
08-04-2025,31.8,83.0,No,No
09-04-2025,30.7,58.4,Yes,No
10-04-2025,28.9,66.0,Yes,No
11-04-2025,23.1,70.4,Yes,Yes
12-04-2025,29.6,54.0,No,No
13-04-2025,20.4,63.4,Yes,No
14-04-2025,23.6,60.2,No,No
15-04-2025,22.1,61.5,No,No
16-04-2025,25.5,48.4,Yes,Yes
17-04-2025,38.9,60.4,No,Yes
18-04-2025,13.8,67.5,No,No
19-04-2025,29.1,81.8,Yes,Yes
20-04-2025,15.3,74.4,Yes,No
21-04-2025,22.2,92.3,Yes,Yes
22-04-2025,31.5,48.5,Yes,Yes
23-04-2025,25.4,73.1,No,No
24-04-2025,18.5,62.8,No,No
25-04-2025,20.7,92.8,No,No
26-04-2025,29.1,47.9,No,No
27-04-2025,20.6,47.4,No,No
28-04-2025,26.3,51.0,Yes,Yes
29-04-2025,25.3,28.1,No,No
30-04-2025,21.1,52.1,No,No
01-05-2025,37.9,48.6,No,No
02-05-2025,28.8,62.3,No,No
03-05-2025,12.8,65.1,Yes,No
04-05-2025,26.1,88.1,Yes,Yes
05-05-2025,21.0,74.3,Yes,Yes
06-05-2025,30.1,51.3,No,No
07-05-2025,20.2,46.5,No,Yes
08-05-2025,24.3,67.4,No,No
09-05-2025,28.0,40.2,Yes,No
10-05-2025,30.2,87.5,No,No
11-05-2025,17.8,77.7,No,Yes
12-05-2025,23.0,53.0,Yes,Yes
13-05-2025,22.2,34.3,Yes,No
14-05-2025,21.1,80.3,Yes,No
15-05-2025,35.6,58.3,No,Yes
16-05-2025,27.4,78.6,Yes,Yes
17-05-2025,17.4,36.1,No,Yes
18-05-2025,30.5,51.0,No,No
19-05-2025,37.7,60.1,No,No
20-05-2025,31.2,60.7,No,Yes
21-05-2025,15.9,53.2,No,No
22-05-2025,22.1,69.3,Yes,Yes
23-05-2025,32.6,44.0,No,No
24-05-2025,20.8,57.9,Yes,No
25-05-2025,27.7,61.8,Yes,Yes
26-05-2025,29.6,67.7,Yes,Yes
27-05-2025,19.4,70.7,No,No
28-05-2025,24.6,43.1,No,No
29-05-2025,5.6,37.0,Yes,Yes
30-05-2025,18.9,79.2,Yes,Yes
31-05-2025,21.5,78.0,Yes,
