age,tenure_months,monthly_charges,total_charges,num_support_calls,contract_type,churn
65,48,72.24,3454.65,3,One-Year,0.0
32,12,76.63,836.13,1,Month-to-Month,0.0
25,69,52.41,3636.25,1,Month-to-Month,1.0
31,37,82.54,3086.34,2,Month-to-Month,0.0
40,32,76.03,2408.8,2,One-Year,0.0
57,9,50.8,535.9,3,Month-to-Month,0.0
38,19,29.25,494.46,1,Two-Year,0.0
33,48,40.59,1875.1,3,Month-to-Month,0.0
62,3,51.62,166.08,2,Month-to-Month,1.0
35,20,88.24,1817.15,2,One-Year,0.0
64,24,96.06,2389.64,6,Two-Year,0.0
41,54,56.21,3012.4,3,Month-to-Month,1.0
43,33,56.84,1929.65,3,One-Year,0.0
42,24,70.23,1683.59,2,One-Year,0.0
62,36,65.24,2340.01,4,Month-to-Month,1.0
58,38,450.0,3221.74,0,Two-Year,0.0
46,25,54.54,1396.12,2,One-Year,0.0
32,18,83.98,,1,One-Year,0.0
62,66,60.22,4048.35,3,Two-Year,0.0
18,54,,4501.32,2,Two-Year,0.0
42,35,59.58,2054.02,1,One-Year,0.0
24,61,52.74,3236.93,1,Two-Year,0.0
26,41,103.25,4257.95,3,One-Year,0.0
41,33,86.3,2860.93,1,One-Year,0.0
18,68,29.16,1955.36,1,One-Year,0.0
61,33,56.06,1816.4,2,One-Year,0.0
25,14,89.1,1246.12,0,Month-to-Month,0.0
41,21,41.07,921.11,3,Two-Year,0.0
28,48,80.41,3886.86,3,Two-Year,0.0
68,20,78.34,1548.27,1,Month-to-Month,1.0
34,8,51.02,446.74,2,Two-Year,1.0
25,7,64.82,311.31,3,Month-to-Month,0.0
52,67,23.2,1611.84,2,Month-to-Month,0.0
52,17,,1619.98,3,One-Year,0.0
50,33,58.82,1922.94,2,Month-to-Month,1.0
22,48,81.08,3835.86,0,Two-Year,0.0
59,59,77.28,4494.79,1,Two-Year,0.0
56,22,92.16,2085.56,1,One-Year,0.0
58,30,,1666.51,1,Month-to-Month,0.0
45,38,69.08,2642.37,1,Month-to-Month,1.0
24,51,76.18,3882.83,0,One-Year,0.0
26,54,82.45,4476.15,2,Two-Year,0.0
25,8,88.09,708.56,1,One-Year,0.0
29,27,55.45,1433.0,3,Month-to-Month,0.0
51,27,51.72,,2,One-Year,0.0
50,21,92.2,1911.51,2,One-Year,0.0
65,30,24.26,649.97,0,One-Year,0.0
40,28,96.4,2677.79,1,Month-to-Month,1.0
41,64,,3847.84,1,One-Year,0.0
54,69,64.91,4521.3,3,One-Year,0.0
52,61,51.35,3114.92,1,Two-Year,0.0
61,48,64.04,3056.46,2,Month-to-Month,1.0
57,19,90.42,1701.9,2,One-Year,1.0
39,4,80.42,425.52,3,Two-Year,0.0
44,35,74.85,2638.85,4,Month-to-Month,1.0
52,64,66.78,4295.42,0,Two-Year,0.0
18,49,36.09,1819.92,2,One-Year,0.0
52,17,500.0,829.98,1,Month-to-Month,1.0
54,44,58.14,2545.21,3,Month-to-Month,1.0
64,30,74.15,2214.68,1,One-Year,0.0
31,46,66.39,3050.36,1,Month-to-Month,1.0
20,6,84.67,506.16,2,One-Year,0.0
18,37,74.47,2791.77,2,Month-to-Month,1.0
22,24,66.09,1588.76,0,One-Year,0.0
43,46,110.52,5120.55,1,Month-to-Month,0.0
31,53,73.12,3871.32,4,Two-Year,0.0
56,60,56.36,3385.53,3,Two-Year,0.0
44,63,102.2,6338.69,0,Two-Year,0.0
26,32,89.01,2894.14,1,One-Year,0.0
32,33,101.32,3360.88,0,Month-to-Month,0.0
32,67,62.78,4256.16,2,One-Year,0.0
43,18,84.53,1376.73,1,Month-to-Month,0.0
59,25,35.94,1002.92,2,Month-to-Month,0.0
30,54,80.68,4349.74,4,Month-to-Month,0.0
68,58,61.85,3642.71,0,Month-to-Month,0.0
49,67,500.0,2487.3,2,One-Year,0.0
56,46,85.65,3970.54,2,One-Year,0.0
66,24,,638.53,1,Month-to-Month,0.0
69,32,26.75,824.81,0,Month-to-Month,1.0
49,47,72.25,3491.45,3,Two-Year,0.0
21,23,76.43,,3,Month-to-Month,1.0
47,66,84.41,5581.93,2,Month-to-Month,0.0
54,27,79.84,2199.18,0,Month-to-Month,1.0
40,2,94.53,213.84,1,One-Year,0.0
56,17,79.0,1350.52,2,One-Year,0.0
62,33,62.35,2075.8,5,Month-to-Month,1.0
32,9,63.53,691.94,2,Month-to-Month,0.0
60,43,59.36,2549.6,3,One-Year,0.0
46,48,70.91,3413.73,2,One-Year,0.0
53,39,43.05,,2,Month-to-Month,1.0
30,42,71.82,3071.72,5,Two-Year,0.0
49,26,63.27,1704.37,4,Month-to-Month,1.0
24,50,70.51,3557.44,2,Month-to-Month,0.0
68,25,70.57,1707.1,0,Two-Year,0.0
39,24,15.95,464.47,3,Month-to-Month,0.0
45,13,46.97,553.29,2,One-Year,0.0
19,60,62.83,3784.93,3,Month-to-Month,0.0
59,7,63.89,409.52,1,Month-to-Month,0.0
34,5,88.5,442.5,4,Month-to-Month,
61,48,42.1,2020.8,1,Two-Year,
