area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,location_type,price
1596.0,2,3,33,13.26,Suburban,197315.76
1455.0,4,1,30,0.89,Suburban,197518.99
1977.0,3,3,22,24.17,Suburban,250975.24
1030.0,4,2,25,5.0,Rural,117404.68
1434.0,1,1,22,3.22,Suburban,170718.68
,1,2,7,12.06,Urban,250389.02
1780.0,3,1,24,2.37,Rural,205424.04
838.0,5,1,31,1.27,Suburban,142107.67
1833.0,1,1,10,2.39,Suburban,215757.05
1261.0,5,1,15,8.93,Suburban,196789.86
1693.0,5,3,31,0.85,Rural,211341.54
1650.0,5,2,25,4.8,Urban,251057.28
2110.0,1,3,22,2.15,Rural,231332.44
1558.0,5,3,36,6.31,Suburban,186286.51
573.0,3,2,22,1.19,Urban,136178.96
815.0,1,1,31,,Urban,95065.68
1866.0,4,3,30,20.61,Rural,207706.6
1371.0,4,3,4,3.08,Rural,208138.3
2069.0,2,2,5,3.5,Suburban,289282.29
1637.0,1,1,28,7.29,Urban,213004.29
,1,2,36,10.74,Rural,99150.67
2041.0,4,3,15,0.5,Urban,316874.33
,5,3,16,8.99,Urban,214623.61
474.0,4,3,21,13.47,Suburban,57376.73
2532.0,1,3,2,12.58,Suburban,360544.37
545.0,3,2,21,4.62,Urban,113715.6
,2,1,29,13.84,Urban,263271.25
,4,1,4,6.34,Urban,308027.42
1574.0,3,2,21,,Urban,267292.67
2100.0,4,3,8,3.2,Urban,
950.0,2,1,25,14.5,Rural,
