customer_id,age_group,membership,session_time,category
CUST0096,Adult,Bronze,Medium,Books
CUST0097,Senior,Platinum,Long,Home
CUST0098,Young_Adult,Silver,Long,Home
CUST0099,Young_Adult,Platinum,Short,Clothing
CUST0100,Teen,Gold,Long,Sports
CUST0101,Teen,Bronze,Medium,Clothing
CUST0102,Adult,Platinum,Long,Electronics
CUST0103,Teen,Silver,Medium,Clothing
CUST0104,Young_Adult,Bronze,Medium,Electronics
CUST0105,Adult,Platinum,Short,Clothing
CUST0106,Adult,Bronze,Medium,Clothing
CUST0107,Adult,Platinum,Medium,Home
CUST0108,Young_Adult,Silver,Long,Home
CUST0109,Senior,Platinum,Long,Home
CUST0110,Teen,Silver,Long,Clothing
CUST0111,Adult,Silver,Long,Electronics
CUST0112,Adult,Gold,Medium,Electronics
CUST0113,Adult,Silver,Medium,Clothing
CUST0114,Young_Adult,Bronze,Long,Clothing
CUST0115,Senior,Bronze,Medium,Home
CUST0116,Senior,Gold,Medium,Home
CUST0117,Young_Adult,Silver,Long,Sports
CUST0118,Senior,Silver,Long,Home
CUST0119,Teen,Platinum,Long,Clothing
CUST0120,Adult,Bronze,Medium,Sports
CUST0121,Adult,Silver,Short,Clothing
CUST0122,Adult,Platinum,Short,Books
CUST0123,Adult,Platinum,Medium,Electronics
CUST0124,Teen,Silver,Medium,Home
CUST0125,Adult,Gold,Medium,Clothing
CUST0126,Adult,Platinum,Short,Sports
CUST0127,Senior,Platinum,Long,Home
CUST0128,Senior,Silver,Long,Home
CUST0129,Young_Adult,Bronze,Long,Home
CUST0130,Teen,Silver,Short,Clothing
CUST0131,Senior,Silver,Short,Home
CUST0132,Teen,Silver,Medium,Clothing
CUST0133,Young_Adult,Silver,Medium,Books
CUST0134,Adult,Silver,Medium,Clothing
CUST0135,Adult,Gold,Long,Sports
CUST0136,Senior,Bronze,Medium,Books
CUST0137,Adult,Gold,Long,Electronics
CUST0138,Senior,Platinum,Medium,Home
CUST0139,Young_Adult,Gold,Medium,Beauty
CUST0140,Adult,Gold,Medium,Beauty
CUST0141,Adult,Bronze,Long,Beauty
CUST0142,Young_Adult,Gold,Medium,Sports
CUST0143,Teen,Silver,Long,Electronics
CUST0144,Adult,Bronze,Short,Electronics
CUST0145,Young_Adult,Platinum,Medium,Clothing
CUST0146,Teen,Platinum,Long,Clothing
CUST0147,Senior,Silver,Short,Electronics
CUST0148,Teen,Platinum,Medium,Clothing
CUST0149,Teen,Platinum,Short,Books
CUST0150,Young_Adult,Bronze,Medium,Beauty
CUST0151,Senior,Silver,Medium,
