annual_income,spending_score,age,membership_years,preferred_category,customer_type
33741.0,32.1,36.0,14.0,Fashion,Bronze
52111.0,28.6,51.0,9.0,Fashion,Bronze
36059.0,81.1,47.0,9.0,Electronics,Silver
57951.0,47.4,37.0,6.0,Electronics,Silver
56540.0,50.4,18.0,9.0,Grocery,Gold
75371.0,51.3,30.0,12.0,Grocery,Gold
,34.3,46.0,5.0,Grocery,Gold
46677.0,84.4,41.0,5.0,Grocery,Gold
63217.0,59.0,20.0,11.0,Electronics,Gold
34396.0,50.9,18.0,7.0,Fashion,Bronze
54237.0,25.7,40.0,7.0,Fashion,Bronze
61388.0,24.4,25.0,5.0,Fashion,Silver
57586.0,43.2,26.0,2.0,Fashion,Silver
63301.0,34.6,46.0,4.0,Fashion,Bronze
42119.0,26.5,52.0,1.0,Fashion,Bronze
78041.0,41.8,29.0,14.0,Fashion,Gold
91443.0,45.2,37.0,13.0,Electronics,Gold
22946.0,53.1,37.0,4.0,Fashion,Bronze
30688.0,38.9,36.0,13.0,Fashion,Bronze
55862.0,27.8,38.0,8.0,Fashion,Silver
49869.0,28.6,47.0,9.0,Electronics,Bronze
92928.0,76.7,30.0,0.0,Grocery,Gold
59396.0,22.5,20.0,9.0,Electronics,Silver
82851.0,58.0,58.0,4.0,Fashion,Gold
14018.0,61.4,51.0,11.0,Grocery,Bronze
71283.0,47.3,25.0,5.0,Fashion,Bronze
40690.0,88.9,40.0,13.0,Electronics,Gold
40369.0,61.0,50.0,10.0,Fashion,Silver
50033.0,90.5,47.0,6.0,Fashion,Gold
26508.0,35.7,44.0,8.0,Grocery,Bronze
63856.0,36.1,36.0,5.0,Grocery,Silver
,61.6,59.0,4.0,Fashion,Silver
60324.0,44.2,41.0,11.0,Fashion,Silver
72741.0,87.1,150.0,6.0,Electronics,Gold
85296.0,57.5,48.0,12.0,Electronics,
47726.0,27.0,39.0,0.0,Fashion,
64547.0,11.8,42.0,10.0,Fashion,
