InvoiceID,SaleDate,CustomerID,Region,ProductCategory,Quantity,UnitPrice,DiscountPercent,TotalAmount
INV00050,05-02-2023,CUST6073,North,Gaming Consoles,7,579.23,15,4054.61
INV00051,13-01-2023,CUST3914,,Laptops,4,2152.91,0,8611.64
INV00052,25-06-2024,CUST1395,Central,Speakers,9,323.52,20,2911.68
INV00053,04-12-2024,CUST6486,Central,,9,1839.63,0,16556.67
INV00054,23-05-2024,CUST2062,Central,Cameras,7,2989.42,0,20925.94
INV00055,09-08-2023,CUST5330,East,Smartphones,-5,1213.81,5,-6069.05
INV00056,07-01-2022,CUST6293,Central,TVs,2,3164.88,0,6329.76
INV00057,05-12-2023,CUST2365,West,Laptops,0,2472,10,0
INV00058,02-10-2023,CUST7588,West,Smartwatches,10,739.13,0,7391.3
INV00059,21-05-2023,CUST5849,West,Accessories,8,32.33,5,258.64
INV00060,14-12-2023,CUST1504,West,Laptops,1,947.19,20,947.19
INV00061,09-06-2022,CUST7316,Central,Cameras,5,2981.71,0,14908.55
INV00062,20-01-2023,CUST7190,North,Laptops,1,1755.12,5,1755.12
INV00063,12-01-2024,CUST2353,West,TVs,8,926.01,5,7408.08
INV00064,12-11-2023,CUST1539,West,Cameras,-3,2215.22,5,-6645.66
INV00065,31-07-2023,CUST3779,Central,Tablets,2,533.31,5,1066.62
INV00066,10-01-2024,CUST3871,South,Cameras,1,2421.77,5,2421.77
INV00067,23-09-2024,CUST8449,North,Smartwatches,1,694.91,5,694.91
INV00068,07-11-2023,CUST3000,Central,Cameras,-1,1921.39,10,-1921.39
INV00069,24-03-2023,CUST8245,North,Laptops,-1,914.46,15,-914.46
INV00070,03-02-2023,CUST4419,South,Accessories,6,167.96,0,1007.76
INV00071,24-08-2023,CUST9580,East,Speakers,7,628.6,5,4400.2
INV00072,13-04-2023,CUST7881,South,Smartphones,3,1384.99,0,4154.97
INV00073,01-12-2023,CUST6115,South,Tablets,4,567.48,10,2269.92
INV00074,06-12-2023,CUST5164,South,Smartwatches,3,499.22,5,1497.66
INV00075,08-01-2023,CUST9472,East,Tablets,2,681.55,0,1363.1
INV00076,02-04-2023,CUST5777,Central,Smartwatches,1,497.38,0,497.38
INV00077,18-03-2024,CUST8240,South,Speakers,6,157.23,15,943.38
INV00078,01-03-2024,CUST5432,South,Headphones,1,259.05,20,259.05
INV00079,25-02-2023,CUST9717,South,Gaming Consoles,2,524.24,0,1048.48
INV00080,07-01-2023,CUST6122,East,Smartphones,3,776.6,0,2329.8
INV00081,28-01-2023,CUST9905,North,Laptops,10,1570.67,0,15706.7
INV00082,25-01-2023,CUST8561,East,Speakers,4,475.97,5,1903.88
INV00083,24-08-2023,CUST7738,South,Speakers,4,552.14,5,2208.56
INV00084,31-12-2023,CUST4812,North,Laptops,5,805.72,0,4028.6
INV00085,27-11-2023,CUST4517,North,Gaming Consoles,8,509.09,20,4072.72
INV00086,07-08-2024,CUST9195,North,TVs,9,2627.22,5,23644.98
INV00087,22-06-2023,CUST7469,,Smartwatches,4,479.95,0,1919.8
INV00088,31-03-2022,CUST2828,East,Headphones,3,68.14,0,204.42
INV00089,18-05-2022,CUST3219,South,TVs,1,830.36,0,830.36
INV00090,07-02-2022,CUST4490,North,Cameras,2,723.17,10,1446.34
INV00091,16-03-2024,CUST9162,,Laptops,6,596.19,10,3577.14
INV00092,17-08-2023,CUST7413,West,Tablets,5,388.55,5,1942.75
INV00093,29-03-2024,CUST2065,North,Smartphones,7,1156.54,15,8095.78
INV00094,19-12-2023,CUST6142,North,Speakers,7,472.3,0,3306.1
INV00095,08-02-2023,CUST2970,East,Gaming Consoles,10,341.78,10,3417.8
INV00096,19-08-2023,CUST1922,West,Smartwatches,5,656.07,0,3280.35
INV00097,18-11-2023,CUST5612,East,Accessories,6,111.93,0,671.58
INV00098,03-07-2023,CUST4228,Central,Headphones,2,54.27,5,108.54
INV00099,09-10-2023,CUST3116,West,Accessories,6,86.16,5,516.96
INV00100,05-08-2024,CUST8783,South,Speakers,8,710.49,15,5683.92
INV00101,20-11-2023,CUST4876,South,Laptops,10,637.84,0,6378.4
INV00102,24-10-2022,CUST4797,East,Gaming Consoles,5,595.45,10,2977.25
INV00103,09-11-2022,CUST4072,East,TVs,9,2707.17,0,24364.53
INV00104,03-06-2023,CUST8970,West,Speakers,0,746.07,5,0
INV00105,13-12-2023,CUST4600,East,Tablets,9,598.69,5,5388.21
INV00106,25-06-2024,CUST5380,East,Smartwatches,2,581.3,0,1162.6
INV00107,25-06-2024,CUST5243,West,,1,1360.8,0,1360.8
INV00108,30-07-2023,CUST3079,Central,Laptops,8,1674.91,0,13399.28
INV00109,13-07-2023,CUST7645,West,Laptops,6,2030.71,0,12184.26
INV00110,24-02-2023,CUST9038,East,Accessories,2,87.66,0,175.32
INV00111,27-06-2023,CUST4462,Central,TVs,7,1187.05,0,8309.35
INV00112,24-11-2023,CUST8221,North,Cameras,1,1847.48,10,1847.48
INV00113,29-03-2023,CUST3538,West,Headphones,5,192.24,0,961.2
INV00114,26-11-2022,CUST9966,North,Gaming Consoles,3,474.91,5,1424.73
INV00115,29-10-2024,CUST7852,West,Accessories,3,122.16,0,366.48
INV00116,13-09-2023,CUST8083,East,Headphones,2,99.04,15,198.08
INV00117,03-08-2023,CUST5223,North,Smartphones,9,949.96,5,8549.64
INV00118,03-09-2023,CUST2301,East,Headphones,2,145.31,0,290.62
INV00119,06-12-2024,CUST6475,North,Smartwatches,5,573.42,10,2867.1
INV00120,28-12-2023,CUST1341,Central,Speakers,8,275.51,5,2204.08
INV00121,22-06-2023,CUST3969,Central,Accessories,2,41.59,10,83.18
INV00122,19-10-2022,CUST6490,South,Cameras,4,2269.52,0,9078.08
INV00123,08-04-2023,CUST5150,Central,TVs,4,2073.51,0,8294.04
INV00124,03-12-2023,CUST8101,East,Smartphones,2,427.92,0,855.84
INV00125,05-08-2023,CUST1060,East,TVs,7,635.39,0,4447.73
INV00126,12-04-2022,CUST8009,West,Tablets,1,309.45,20,309.45
INV00127,30-10-2023,CUST5107,East,TVs,1,2442.23,10,2442.23
INV00128,25-01-2023,CUST7609,North,Accessories,10,17.49,10,174.9
INV00129,08-10-2024,CUST8124,South,Gaming Consoles,5,519.31,0,2596.55
INV00130,11-11-2022,CUST2500,South,Headphones,2,232.85,5,465.7
INV00131,01-06-2023,CUST8138,West,Smartphones,0,936.32,5,0
INV00132,08-02-2023,CUST8694,North,Headphones,9,308.25,5,2774.25
INV00133,18-04-2023,CUST9502,East,Accessories,3,176.19,5,528.57
INV00134,14-08-2024,CUST8206,West,Laptops,5,1459.56,5,7297.8
INV00135,23-09-2023,CUST8069,North,Gaming Consoles,1,371.63,0,371.63
INV00136,07-06-2023,CUST3033,West,Smartphones,9,632.72,15,5694.48
INV00137,01-11-2022,CUST9056,West,Accessories,5,26.99,5,134.95
INV00138,28-10-2024,CUST9202,Central,Smartphones,4,377.98,5,1511.92
INV00139,06-11-2023,CUST4564,South,Smartphones,9,523.73,10,4713.57
INV00140,18-09-2023,CUST9245,North,Speakers,0,796.44,0,0
INV00141,27-06-2023,CUST8312,East,Tablets,8,798.3,0,6386.4
INV00142,22-12-2024,CUST2290,North,TVs,9,537.57,,4838.13
INV00143,09-02-2022,CUST1954,South,TVs,6,1205.24,10,7231.44
INV00144,06-02-2023,CUST4020,West,Cameras,4,1687.38,5,6749.52
INV00145,05-07-2023,CUST2591,South,TVs,1,3123.75,10,3123.75
INV00146,19-12-2023,CUST2704,Central,Speakers,0,174.08,10,0
INV00147,13-05-2023,CUST1556,South,Speakers,7,103.6,10,725.2
INV00148,08-02-2023,CUST4998,South,Headphones,7,117.6,0,823.2
INV00149,21-08-2023,CUST3064,South,TVs,6,1278.36,0,7670.16
INV00150,15-11-2023,CUST2435,West,Cameras,4,851.76,10,3407.04
INV00151,10-07-2024,CUST2040,West,Smartwatches,6,374.82,5,2248.92
INV00152,02-11-2022,CUST8437,Central,Headphones,4,315.39,0,1261.56
INV00153,14-05-2022,CUST4356,West,Laptops,9,827.25,10,7445.25
INV00154,15-10-2023,CUST4155,East,Tablets,2,225.04,10,450.08
INV00155,22-12-2024,CUST5179,East,Speakers,1,324.52,10,324.52
INV00156,12-06-2023,CUST4056,North,TVs,8,893.66,0,7149.28
INV00157,08-01-2022,CUST9782,East,Smartphones,3,1256.16,0,3768.48
INV00158,15-02-2024,CUST1526,North,,4,429.09,0,1716.36
INV00159,15-11-2023,CUST6109,Central,Cameras,8,1206.94,5,9655.52
INV00160,01-10-2022,CUST2389,East,Speakers,0,645.9,0,0
INV00161,29-03-2023,CUST7731,North,Smartwatches,4,374.91,10,1499.64
INV00162,18-12-2024,CUST1001,North,Laptops,0,665.02,10,0
INV00163,13-04-2023,CUST8014,South,Accessories,2,17.82,10,35.64
INV00164,12-11-2024,CUST7082,East,Smartwatches,9,183.78,5,1654.02
INV00165,21-09-2023,CUST4911,South,Headphones,7,281.29,5,1969.03
INV00166,22-01-2023,CUST9601,East,Speakers,2,142.25,0,284.5
INV00167,28-10-2023,CUST2266,South,Tablets,-2,795.42,15,-1590.84
INV00168,15-10-2023,CUST1306,,Smartphones,3,574.15,20,1722.45
INV00169,10-05-2024,CUST9946,East,Smartwatches,1,696.29,0,696.29
INV00170,24-01-2024,CUST9595,Central,Headphones,4,226.7,5,906.8
INV00171,15-04-2023,CUST7563,South,Cameras,4,2670.9,15,10683.6
INV00172,31-08-2023,CUST2394,South,Smartwatches,3,554.93,5,1664.79
INV00173,21-12-2023,CUST4591,West,Gaming Consoles,2,354.29,15,708.58
INV00174,14-11-2023,CUST2525,West,TVs,4,2238.15,0,8952.6
INV00175,28-01-2023,CUST3113,East,Cameras,1,2411.03,0,2411.03
INV00176,29-10-2024,CUST7430,East,Accessories,10,95.27,10,952.7
INV00177,13-05-2022,CUST6895,East,Laptops,6,835.24,0,5011.44
INV00178,23-07-2023,CUST4568,West,TVs,6,1038.11,0,6228.66
INV00179,10-05-2023,CUST1968,Central,Headphones,1,92.74,5,92.74
INV00180,20-11-2024,CUST2229,West,Accessories,2,193.37,0,386.74
INV00181,01-11-2024,CUST6342,East,Smartphones,6,467.58,0,2805.48
INV00182,02-12-2023,CUST2969,South,Gaming Consoles,5,328.17,10,1640.85
INV00183,05-01-2023,CUST2198,South,Laptops,10,1248.59,0,12485.9
INV00184,26-01-2023,CUST4719,North,TVs,4,2497.19,0,9988.76
INV00185,22-02-2023,CUST9125,West,Smartphones,5,1339.73,20,6698.65
INV00186,02-09-2023,CUST4230,North,Headphones,6,164.46,10,986.76
INV00187,23-03-2023,CUST2000,East,Laptops,6,1798.15,0,10788.9
INV00188,18-07-2023,CUST3190,Central,Tablets,9,677.19,5,6094.71
INV00189,12-04-2023,CUST8010,South,Smartphones,3,950.84,20,2852.52
INV00190,27-04-2023,CUST2177,North,Cameras,5,1039.78,5,5198.9
INV00191,09-12-2023,CUST6445,South,Cameras,7,2731.46,0,19120.22
INV00192,18-10-2024,CUST9906,East,Headphones,0,173.07,0,0
INV00193,21-02-2023,CUST4610,Central,Tablets,10,688.27,10,6882.7
INV00194,12-05-2023,CUST3137,North,Gaming Consoles,10,539.93,0,5399.3
INV00195,29-08-2023,CUST9105,Central,Accessories,0,90.66,0,0
INV00196,21-06-2023,CUST6495,Central,Accessories,7,131.22,5,918.54
INV00197,26-01-2023,CUST5616,South,TVs,10,3190.07,0,31900.7
INV00198,20-10-2023,CUST6699,South,TVs,7,2469.4,0,17285.8
INV00199,30-08-2023,CUST1482,West,Smartphones,5,414.86,0,2074.3
INV00200,09-06-2023,CUST9841,North,Speakers,2,292.18,5,584.36
INV00201,11-02-2023,CUST7780,North,Laptops,8,756.79,0,6054.32
INV00202,11-02-2023,CUST7764,West,TVs,4,994.79,0,3979.16
INV00203,15-07-2023,CUST2804,North,Smartphones,5,625.38,,3126.9
INV00204,27-10-2023,CUST3428,South,Tablets,2,995.31,10,1990.62
INV00205,20-12-2023,CUST5211,West,Accessories,1,130.64,10,130.64
INV00206,16-04-2023,CUST3493,North,Gaming Consoles,1,390.26,20,390.26
INV00207,30-01-2023,CUST1236,West,Tablets,5,789.74,10,3948.7
INV00208,13-10-2023,CUST1148,West,Smartwatches,8,640.93,0,5127.44
INV00209,07-02-2023,CUST3785,Central,Headphones,2,169.59,0,339.18
INV00210,06-09-2023,CUST3496,East,Tablets,7,953.91,,6677.37
INV00211,23-05-2023,CUST5437,West,Cameras,1,702.55,10,702.55
INV00212,04-08-2023,CUST8629,East,Gaming Consoles,9,396.76,,3570.84
INV00213,25-07-2023,CUST6907,South,Accessories,9,101.08,0,909.72
INV00214,17-11-2023,CUST5917,Central,Headphones,9,338.82,10,3049.38
INV00215,25-01-2022,CUST8340,West,Headphones,6,50.12,0,300.72
INV00216,31-05-2023,CUST7610,East,Cameras,10,950.56,5,9505.6
INV00217,25-02-2023,CUST9648,East,Speakers,9,647.89,0,5831.01
INV00218,09-09-2023,CUST9800,West,Headphones,5,131.43,0,657.15
INV00219,04-05-2023,CUST5517,South,Cameras,0,1569.44,0,0
INV00220,02-04-2023,CUST2549,Central,Smartwatches,4,236.97,5,947.88
INV00221,29-05-2023,CUST7793,South,TVs,1,1402.85,10,1402.85
INV00222,30-06-2023,CUST3385,Central,Headphones,1,241.79,5,241.79
INV00223,02-07-2023,CUST8961,West,Smartphones,2,871.22,0,1742.44
INV00224,11-02-2023,CUST7164,South,Laptops,5,1817.38,15,9086.9
INV00225,17-02-2023,CUST7172,North,Accessories,0,58.08,10,0
INV00226,04-09-2023,CUST1775,East,Smartwatches,1,193.32,5,193.32
INV00227,28-03-2023,CUST5940,North,Gaming Consoles,3,321.38,0,964.14
INV00228,03-10-2024,CUST1365,West,Headphones,7,324.34,0,2270.38
INV00229,18-09-2023,CUST7493,South,Smartwatches,1,342.04,10,342.04
INV00230,18-02-2023,CUST2827,West,Speakers,10,434.78,15,4347.8
INV00231,13-06-2023,CUST9843,East,TVs,5,3252.92,5,16264.6
INV00232,14-08-2023,CUST9714,South,Laptops,0,949.23,0,0
INV00233,04-05-2023,CUST8128,South,Smartwatches,4,228.98,0,915.92
INV00234,01-05-2024,CUST6341,North,Speakers,5,628.53,5,3142.65
INV00235,26-12-2023,CUST7381,West,Smartwatches,9,759.3,0,6833.7
INV00236,29-01-2023,CUST5558,West,Smartphones,3,480.81,0,1442.43
INV00237,08-07-2023,CUST2376,East,Smartwatches,7,525.16,15,3676.12
INV00238,16-05-2023,CUST9553,South,TVs,5,3132.5,0,15662.5
INV00239,16-11-2023,CUST9033,East,Speakers,7,530.48,10,3713.36
INV00240,27-03-2023,CUST3649,South,Smartwatches,9,772.75,0,6954.75
INV00241,31-08-2023,CUST8902,East,Cameras,4,2277.38,15,9109.52
INV00242,20-10-2023,CUST8909,Central,Smartwatches,5,168.9,0,844.5
INV00243,20-01-2023,CUST3563,Central,Tablets,10,649.19,5,6491.9
INV00244,11-06-2023,CUST1593,East,Tablets,3,246.84,0,740.52
INV00245,27-04-2023,CUST1867,East,Headphones,1,201.91,0,201.91
INV00246,08-09-2023,CUST9667,East,Speakers,0,549.8,5,0
INV00247,28-08-2023,CUST3010,West,Gaming Consoles,5,355.34,0,1776.7
INV00248,17-04-2023,CUST7397,Central,Smartwatches,3,761.44,0,2284.32
INV00249,10-03-2023,CUST8999,Central,Headphones,10,378.07,10,3780.7
INV00250,06-05-2023,CUST8462,South,Tablets,9,205.62,0,1850.58
INV00251,30-12-2023,CUST5283,North,Headphones,4,54.69,0,218.76
INV00252,08-12-2022,CUST5998,East,Gaming Consoles,0,374.86,0,0
INV00253,16-04-2023,CUST8896,Central,Smartwatches,4,171.85,0,687.4
INV00254,21-01-2024,CUST1689,North,Gaming Consoles,2,519.73,5,1039.46
INV00255,18-07-2022,CUST2449,South,TVs,9,1932.89,20,17396.01
INV00256,28-03-2022,CUST2753,Central,TVs,3,3413.22,5,10239.66
INV00257,10-06-2023,CUST8345,Central,Headphones,9,347.72,5,3129.48
INV00258,02-03-2023,CUST1572,South,Accessories,7,144.49,5,1011.43
INV00259,17-07-2022,CUST4648,South,Cameras,6,2609.94,,15659.64
INV00260,05-05-2023,CUST4750,West,TVs,6,2899.85,5,17399.1
INV00261,15-11-2022,CUST6055,,Headphones,4,314.86,5,1259.44
INV00262,01-08-2023,CUST2749,West,Speakers,10,490.59,5,4905.9
INV00263,13-02-2022,CUST8264,South,Headphones,7,279.87,10,1959.09
INV00264,16-07-2023,CUST3551,West,Accessories,9,119.74,5,1077.66
INV00265,16-02-2023,CUST9078,South,Accessories,6,160.72,0,964.32
INV00266,15-09-2024,CUST1282,South,TVs,1,503.49,0,503.49
INV00267,25-06-2023,CUST4690,Central,Headphones,6,349.91,0,2099.46
INV00268,16-01-2023,CUST6248,Central,Gaming Consoles,2,349.79,15,699.58
INV00269,04-09-2023,CUST4711,East,Cameras,1,476.35,10,476.35
INV00270,13-05-2023,CUST1226,Central,Speakers,2,177.52,10,355.04
INV00271,29-12-2024,CUST3504,Central,TVs,3,3127.45,5,9382.35
INV00272,05-06-2023,CUST4831,South,Laptops,4,2310.72,10,9242.88
INV00273,16-03-2023,CUST8096,North,Cameras,3,480.9,10,1442.7
INV00274,05-09-2022,CUST1155,North,Headphones,8,75.43,0,603.44
INV00275,30-10-2023,CUST6925,Central,Tablets,5,722.53,15,3612.65
INV00276,08-02-2024,CUST1392,East,Smartphones,6,1104.88,5,6629.28
INV00277,15-02-2022,CUST3597,West,Cameras,3,1473.18,10,4419.54
INV00278,08-10-2023,CUST1423,South,Smartwatches,9,339.94,15,3059.46
INV00279,20-07-2023,CUST6075,Central,Gaming Consoles,9,391.43,10,3522.87
INV00280,30-04-2023,CUST1933,Central,Headphones,9,54.34,5,489.06
INV00281,22-07-2023,CUST2762,North,Speakers,4,714.07,15,2856.28
INV00282,27-03-2023,CUST4198,Central,Laptops,3,1035.55,10,3106.65
INV00283,29-05-2023,CUST2348,West,Cameras,1,2317.67,5,2317.67
INV00284,04-02-2022,CUST5577,North,TVs,8,1382.53,5,11060.24
INV00285,27-12-2023,CUST7748,Central,Tablets,9,762.11,0,6858.99
INV00286,28-01-2023,CUST1771,West,Tablets,2,417.26,5,834.52
INV00287,12-03-2024,CUST5005,North,Smartphones,6,354.78,0,2128.68
INV00288,03-04-2023,CUST3800,East,TVs,4,1041.68,,4166.72
INV00289,29-10-2022,CUST5976,East,Headphones,10,212,5,2120
INV00290,16-04-2023,CUST6482,North,Speakers,1,531.95,0,531.95
INV00291,02-07-2023,CUST4112,Central,Tablets,1,511.9,10,511.9
INV00292,18-04-2024,CUST7588,North,Accessories,4,147.06,15,588.24
INV00293,07-06-2022,CUST4052,North,Headphones,2,282.85,10,565.7
INV00294,27-05-2023,CUST2774,West,TVs,1,1653.14,0,1653.14
INV00295,15-09-2023,CUST6054,Central,Speakers,3,515.56,0,1546.68
INV00296,28-04-2023,CUST8544,West,Tablets,5,921.96,0,4609.8
INV00297,23-10-2023,CUST7401,North,Speakers,3,414.2,0,1242.6
INV00298,23-12-2023,CUST5669,North,Speakers,9,147.17,0,1324.53
INV00299,08-04-2024,CUST4500,North,Cameras,0,1934.74,0,0
INV00300,14-07-2023,CUST4243,North,Gaming Consoles,10,411.02,0,4110.2
INV00301,16-06-2023,CUST4361,West,Cameras,5,2714.25,0,13571.25
INV00302,06-06-2023,CUST4273,West,Smartphones,1,421.51,10,421.51
INV00303,25-06-2023,CUST4699,West,Smartwatches,4,258.78,20,1035.12
INV00304,10-12-2023,CUST1442,East,Headphones,6,373.97,5,2243.82
INV00305,19-09-2023,CUST7268,Central,Accessories,0,32.07,20,0
INV00306,28-03-2023,CUST7789,West,Smartphones,1,405.84,5,405.84
INV00307,19-04-2023,CUST4807,West,Cameras,1,1783.87,0,1783.87
INV00308,09-12-2023,CUST1946,East,Accessories,3,43.66,5,130.98
INV00309,21-01-2023,CUST9491,East,Gaming Consoles,1,474.14,0,474.14
INV00310,21-04-2023,CUST7652,North,Tablets,0,698.72,5,0
INV00311,14-06-2023,CUST3567,West,Cameras,4,2758.05,0,11032.2
INV00312,20-12-2023,CUST9458,Central,Smartwatches,7,231.13,10,1617.91
INV00313,15-02-2023,CUST1882,East,Accessories,2,153.38,5,306.76
INV00314,16-08-2023,CUST8269,East,Laptops,7,1273.08,5,8911.56
INV00315,30-08-2023,CUST4536,East,Cameras,4,1552.99,5,6211.96
INV00316,31-12-2023,CUST5258,North,TVs,0,1761.36,10,0
INV00317,26-05-2024,CUST8742,East,Cameras,7,449.7,5,3147.9
INV00318,20-06-2023,CUST4906,South,Accessories,5,78.16,10,390.8
INV00319,03-07-2023,CUST5152,East,Tablets,10,862.78,0,8627.8
INV00320,06-03-2022,CUST4363,North,Cameras,5,414.73,15,2073.65
INV00321,20-07-2023,CUST9448,West,Tablets,8,519.28,10,4154.24
INV00322,17-09-2023,CUST9605,East,Tablets,2,204.87,0,409.74
INV00323,06-03-2024,CUST6776,South,Accessories,6,19.54,0,117.24
INV00324,21-04-2023,CUST3555,South,Gaming Consoles,7,578.77,5,4051.39
INV00325,08-08-2024,CUST8398,Central,Gaming Consoles,9,365.78,0,3292.02
INV00326,02-10-2023,CUST8480,North,Smartwatches,7,477,5,3339
INV00327,23-02-2023,CUST9851,South,Smartphones,4,663.83,0,2655.32
INV00328,17-09-2023,CUST2228,East,Gaming Consoles,7,347.59,15,2433.13
INV00329,07-05-2023,CUST8016,West,Laptops,1,1522.26,0,1522.26
INV00330,21-10-2023,CUST7352,South,TVs,5,3315.39,0,16576.95
INV00331,30-04-2024,CUST3624,East,Tablets,2,450.68,10,901.36
INV00332,20-05-2024,CUST3224,West,Tablets,10,233.83,5,2338.3
INV00333,04-08-2024,CUST8094,South,Gaming Consoles,5,589.81,10,2949.05
INV00334,07-10-2024,CUST6832,Central,Headphones,5,66.87,0,334.35
INV00335,28-01-2024,CUST6672,East,Smartphones,3,743.78,0,2231.34
INV00336,29-07-2023,CUST9588,West,Smartphones,9,1343.72,10,12093.48
INV00337,10-04-2023,CUST2772,South,Speakers,7,188.01,10,1316.07
INV00338,28-05-2024,CUST1539,North,Headphones,3,283.4,10,850.2
INV00339,22-02-2023,CUST8982,Central,Accessories,5,183.1,10,915.5
INV00340,18-05-2023,CUST1674,North,Tablets,1,924.85,0,924.85
INV00341,16-08-2023,CUST2401,West,Accessories,4,96.43,0,385.72
INV00342,02-04-2023,CUST3745,West,Smartwatches,9,228.13,0,2053.17
INV00343,02-06-2022,CUST9224,South,Gaming Consoles,5,493.94,20,2469.7
INV00344,09-06-2023,CUST5426,North,Gaming Consoles,8,362.13,0,2897.04
INV00345,05-06-2024,CUST6345,West,Gaming Consoles,4,587.34,15,2349.36
INV00346,06-04-2023,CUST7683,North,Laptops,7,781.61,5,5471.27
INV00347,28-10-2023,CUST7410,Central,Cameras,4,1409.23,10,5636.92
INV00348,18-02-2023,CUST7707,West,Speakers,0,595.4,0,0
INV00349,05-01-2022,CUST8763,West,Speakers,6,390.95,0,2345.7
INV00350,12-08-2023,CUST4644,South,Cameras,4,1821.84,0,7287.36
INV00351,03-01-2023,CUST6085,Central,TVs,1,824.7,20,824.7
INV00352,17-12-2023,CUST3743,East,Accessories,5,93.03,5,465.15
INV00353,03-06-2022,CUST1619,East,Smartphones,5,1443.48,20,7217.4
INV00354,28-12-2023,CUST9199,West,Laptops,1,825.4,5,825.4
INV00355,27-03-2023,CUST3468,South,Headphones,10,331.66,0,3316.6
INV00356,26-12-2023,CUST3369,East,Smartwatches,9,411.8,15,3706.2
INV00357,16-08-2022,CUST8432,East,Smartphones,5,1213.21,0,6066.05
INV00358,27-04-2023,CUST8778,North,Gaming Consoles,1,536.26,0,536.26
INV00359,01-04-2023,CUST2105,West,Laptops,10,2254.71,20,22547.1
INV00360,11-11-2022,CUST4786,North,Speakers,1,222.66,15,222.66
INV00361,09-08-2023,CUST8423,East,TVs,3,1411.65,10,4234.95
